class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
0,road,0.9625828356541608,0.9808479326223553,13928418,13925953
1,sidewalk,0.7495540253328923,0.817785802381737,2394303,2175980
2,building,0.8151135517616891,0.91829502419262,7513655,7850871
3,wall,0.6486535013392429,0.7049774118527627,374090,296208
4,fence,0.44870303158966235,0.6632123518573647,497156,567393
5,pole,0.3239495730866876,0.43105195058835016,655392,499190
6,traffic light,0.5038929194367906,0.5823698260939428,136913,101057
7,traffic sign,0.5353174073579785,0.5955674191781545,303074,214612
8,vegetation,0.8378405089633264,0.9330424231203829,5487833,5743951
9,terrain,0.6452236327906697,0.7391875248820214,429527,380053
10,sky,0.9169122400331303,0.9584859117518764,1515341,1521140
11,person,0.4569601768165134,0.5652503349125322,512074,410801
12,rider,0.20914459174235778,0.3110538939051919,56704,45268
13,car,0.8639526555623143,0.9516657716557594,2472968,2604508
14,truck,0.49457690240344004,0.5436197710608218,94785,60926
15,bus,0.0,0.0,11517,0
16,train,0.0,,0,198
17,motorcycle,0.5160774756128179,0.610623252039589,138018,109562
18,bicycle,0.6845796065908047,0.8273443566146053,392805,406902
