distortion,level,condition,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,5.0,distorted,person,0.2019383375484459,0.36602663827835447,0.0702070207020702,0.5492957746478874,0.7304263389808521,142.0,1111.0
GaussNoise,5.0,distorted,bicycle,0.07077819888296012,0.14097957248914383,0.031630170316301706,0.26,0.6491593049762334,50.0,411.0
GaussNoise,5.0,distorted,car,0.3606210823050132,0.5458554319499934,0.08235294117647059,0.6584158415841584,0.7845629716309095,202.0,1615.0
GaussNoise,5.0,distorted,motorcycle,0.22136499364222137,0.4527452745274527,0.07142857142857142,0.5714285714285714,0.688935247573013,7.0,56.0
GaussNoise,5.0,distorted,bus,0.0504950495049505,0.2524752475247525,0.022222222222222223,0.5,0.5758053335568611,2.0,45.0
GaussNoise,5.0,distorted,train,,,0.0,0.0,0.0,0.0,16.0
GaussNoise,5.0,distorted,truck,0.3280940594059406,0.6695544554455446,0.045454545454545456,0.8333333333333334,0.7683413205521843,6.0,110.0
GaussNoise,5.0,restored,person,0.17952436354217902,0.3282337906192003,0.060711188204683436,0.49295774647887325,0.7299139890251368,142.0,1153.0
GaussNoise,5.0,restored,bicycle,0.09408164550622271,0.16072689975764493,0.04564315352697095,0.22,0.7240760181474684,50.0,241.0
GaussNoise,5.0,restored,car,0.32178672559356924,0.5028202309799518,0.07909604519774012,0.6237623762376238,0.7802845581667014,202.0,1593.0
GaussNoise,5.0,restored,motorcycle,0.2424807160948653,0.5742574257425742,0.0380952380952381,0.5714285714285714,0.7190795117919775,7.0,105.0
GaussNoise,5.0,restored,bus,0.0,0.0,0.0,0.0,0.0,2.0,46.0
GaussNoise,5.0,restored,train,,,0.0,0.0,0.0,0.0,20.0
GaussNoise,5.0,restored,truck,0.42809405940594064,0.6035478547854786,0.05102040816326531,0.8333333333333334,0.8521482448435812,6.0,98.0
GaussNoise,10.0,distorted,person,0.1986278899169857,0.34923308877210973,0.07446808510638298,0.5422535211267606,0.72895653234386,142.0,1034.0
GaussNoise,10.0,distorted,bicycle,0.06337566184912301,0.11306542461704122,0.028169014084507043,0.28,0.6966317788712473,50.0,497.0
GaussNoise,10.0,distorted,car,0.34448744799316977,0.5316608840993597,0.07491486946651532,0.6534653465346535,0.7727248171922785,202.0,1762.0
GaussNoise,10.0,distorted,motorcycle,0.10985105653422485,0.3910891089108911,0.057692307692307696,0.42857142857142855,0.6711959976260076,7.0,52.0
GaussNoise,10.0,distorted,bus,0.02524752475247525,0.12623762376237624,0.02631578947368421,0.5,0.5660389347254935,2.0,38.0
GaussNoise,10.0,distorted,train,,,0.0,0.0,0.0,0.0,16.0
GaussNoise,10.0,distorted,truck,0.35018001800180015,0.721122112211221,0.05747126436781609,0.8333333333333334,0.7438769614685168,6.0,87.0
GaussNoise,10.0,restored,person,0.17598482546052965,0.3183745101536375,0.059422750424448216,0.49295774647887325,0.7247588134324117,142.0,1178.0
GaussNoise,10.0,restored,bicycle,0.09134167955966102,0.14778620719214777,0.0411522633744856,0.2,0.7335406633181727,50.0,243.0
GaussNoise,10.0,restored,car,0.320707619513108,0.4976109365066994,0.07721046077210461,0.6138613861386139,0.7831296976836765,202.0,1606.0
GaussNoise,10.0,restored,motorcycle,0.2413141314131413,0.5742574257425742,0.037037037037037035,0.5714285714285714,0.7297520688777414,7.0,108.0
GaussNoise,10.0,restored,bus,0.0,0.0,0.0,0.0,0.0,2.0,48.0
GaussNoise,10.0,restored,train,,,0.0,0.0,0.0,0.0,18.0
GaussNoise,10.0,restored,truck,0.3662611975483262,0.5543297186861542,0.05263157894736842,0.8333333333333334,0.8405729768369289,6.0,95.0
GaussNoise,20.0,distorted,person,0.16499946256277495,0.3018833903565639,0.06515301085883514,0.4647887323943662,0.7258952977988404,142.0,1013.0
GaussNoise,20.0,distorted,bicycle,0.055723689753741576,0.11122345191558428,0.023214285714285715,0.26,0.709543196478914,50.0,560.0
GaussNoise,20.0,distorted,car,0.30757548973625204,0.5057631953329961,0.0624706434945984,0.6584158415841584,0.7520641944655599,202.0,2129.0
GaussNoise,20.0,distorted,motorcycle,0.11327254520323829,0.3228117683563228,0.0847457627118644,0.7142857142857143,0.5986628312265948,7.0,59.0
GaussNoise,20.0,distorted,bus,0.0,0.0,0.0,0.0,0.0,2.0,24.0
GaussNoise,20.0,distorted,train,,,0.0,0.0,0.0,0.0,12.0
GaussNoise,20.0,distorted,truck,0.2877227722772277,0.586138613861386,0.05154639175257732,0.8333333333333334,0.7504673659065119,6.0,97.0
GaussNoise,20.0,restored,person,0.17240033734237345,0.3191590613322088,0.05762987012987013,0.5,0.732176138916389,142.0,1232.0
GaussNoise,20.0,restored,bicycle,0.09424652410295976,0.1428872447684329,0.048582995951417005,0.24,0.722738517622227,50.0,247.0
GaussNoise,20.0,restored,car,0.324251486572216,0.5076755680564128,0.08149084017687934,0.6386138613861386,0.7714279607886932,202.0,1583.0
GaussNoise,20.0,restored,motorcycle,0.21785478547854784,0.5742574257425742,0.03278688524590164,0.5714285714285714,0.694375903664815,7.0,122.0
GaussNoise,20.0,restored,bus,0.0,0.0,0.0,0.0,0.0,2.0,37.0
GaussNoise,20.0,restored,train,,,0.0,0.0,0.0,0.0,21.0
GaussNoise,20.0,restored,truck,0.36460396039603954,0.5829207920792079,0.056818181818181816,0.8333333333333334,0.8331985081664955,6.0,88.0
GaussNoise,35.0,distorted,person,0.1364050585570848,0.23235635028195026,0.046009389671361506,0.34507042253521125,0.7339308823439963,142.0,1065.0
GaussNoise,35.0,distorted,bicycle,0.0035361992548003504,0.009865212100728006,0.022321428571428572,0.1,0.6317116753361611,50.0,224.0
GaussNoise,35.0,distorted,car,0.22290421573733407,0.3780162574197872,0.058482358627356214,0.599009900990099,0.7242970691573083,202.0,2069.0
GaussNoise,35.0,distorted,motorcycle,0.02067254802403317,0.09558263518659557,0.041666666666666664,0.2857142857142857,0.5296241936676349,7.0,48.0
GaussNoise,35.0,distorted,bus,0.0,0.0,0.0,0.0,0.0,2.0,14.0
GaussNoise,35.0,distorted,train,,,0.0,0.0,0.0,0.0,27.0
GaussNoise,35.0,distorted,truck,0.05007926504875515,0.1012753817754657,0.022900763358778626,0.5,0.7520199876385547,6.0,131.0
GaussNoise,35.0,restored,person,0.17217835833821554,0.31115145879827383,0.05105105105105105,0.4788732394366197,0.7228857665789317,142.0,1332.0
GaussNoise,35.0,restored,bicycle,0.0703611720356502,0.13885886093082422,0.04182509505703422,0.22,0.6889689514967496,50.0,263.0
GaussNoise,35.0,restored,car,0.313958767127834,0.5148375410827565,0.07519640852974187,0.6633663366336634,0.7664109238775396,202.0,1782.0
GaussNoise,35.0,restored,motorcycle,0.13913833645736923,0.5742574257425742,0.045454545454545456,0.5714285714285714,0.6366600392068296,7.0,88.0
GaussNoise,35.0,restored,bus,0.0,0.0,0.0,0.0,0.0,2.0,41.0
GaussNoise,35.0,restored,train,,,0.0,0.0,0.0,0.0,21.0
GaussNoise,35.0,restored,truck,0.36909609642282903,0.6421499292786422,0.053763440860215055,0.8333333333333334,0.7443724706888156,6.0,93.0
GaussNoise,50.0,distorted,person,0.0887159830353629,0.17368246919445243,0.03510436432637571,0.2605633802816901,0.7075084950538701,142.0,1054.0
GaussNoise,50.0,distorted,bicycle,0.0,0.0,0.0,0.0,0.0,50.0,48.0
GaussNoise,50.0,distorted,car,0.11912774203765226,0.21906737510599478,0.057882711348057884,0.37623762376237624,0.6936984396693875,202.0,1313.0
GaussNoise,50.0,distorted,motorcycle,0.0014851485148514852,0.01485148514851485,0.1,0.14285714285714285,0.526590041204153,7.0,10.0
GaussNoise,50.0,distorted,bus,0.0,0.0,0.0,0.0,0.0,2.0,2.0
GaussNoise,50.0,distorted,train,,,0.0,0.0,0.0,0.0,17.0
GaussNoise,50.0,distorted,truck,0.0184083351944217,0.03706977840641207,0.023076923076923078,0.5,0.7485488966010941,6.0,130.0
GaussNoise,50.0,restored,person,0.153383428941535,0.283993033040107,0.05425709515859766,0.45774647887323944,0.7189656644673306,142.0,1198.0
GaussNoise,50.0,restored,bicycle,0.024364178771000597,0.06748379250360936,0.030303030303030304,0.22,0.6473027322177642,50.0,363.0
GaussNoise,50.0,restored,car,0.27240027925003246,0.45555016156983574,0.06684073107049608,0.6336633663366337,0.7497357923405199,202.0,1915.0
GaussNoise,50.0,restored,motorcycle,0.03389633080955154,0.15666860803727428,0.028169014084507043,0.2857142857142857,0.6392367519390758,7.0,71.0
GaussNoise,50.0,restored,bus,0.0,0.0,0.0,0.0,0.0,2.0,20.0
GaussNoise,50.0,restored,train,,,0.0,0.0,0.0,0.0,11.0
GaussNoise,50.0,restored,truck,0.17286264340719784,0.411951909476662,0.05102040816326531,0.8333333333333334,0.6675482497676619,6.0,98.0
SevereJPEG,80.0,distorted,person,0.21669623186828893,0.3730321051669073,0.07155635062611806,0.5633802816901409,0.7357431976887708,142.0,1118.0
SevereJPEG,80.0,distorted,bicycle,0.06740117904041669,0.15311985589640764,0.034210526315789476,0.26,0.6767062724313703,50.0,380.0
