distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,5.0,0,road,0.9689064402771532,0.9843855576327786,3477934,3479191
GaussNoise,5.0,1,sidewalk,0.7082423413230896,0.8012153983530113,403160,375942
GaussNoise,5.0,2,building,0.8175008207571853,0.9355970348519334,1572940,1698865
GaussNoise,5.0,3,wall,0.0,0.0,4345,220
GaussNoise,5.0,4,fence,0.011176048395365528,0.05541433655312659,3934,15790
GaussNoise,5.0,5,pole,0.31271257849643574,0.4717644657239357,107772,105658
GaussNoise,5.0,6,traffic light,0.6191284916201117,0.6394676104016003,64990,43694
GaussNoise,5.0,7,traffic sign,0.6828711558036954,0.7321089995149698,90716,72955
GaussNoise,5.0,8,vegetation,0.8637139313460872,0.9244924553791647,1923821,1913935
GaussNoise,5.0,9,terrain,0.5468536668971247,0.6339194913827358,148481,117765
GaussNoise,5.0,10,sky,0.9165370244424925,0.9524009808213377,349503,346543
GaussNoise,5.0,11,person,0.22332621174290201,0.2671456430257621,97430,45145
GaussNoise,5.0,12,rider,0.0,0.0,5979,0
GaussNoise,5.0,13,car,0.8672561526993671,0.948666619614989,935142,974921
GaussNoise,5.0,14,truck,0.658668319461661,0.7598414741271884,48951,44714
GaussNoise,5.0,15,bus,,,0,0
GaussNoise,5.0,16,train,,,0,0
GaussNoise,5.0,17,motorcycle,,,0,0
GaussNoise,5.0,18,bicycle,0.23324880247957172,0.3741638040137407,11062,10822
GaussNoise,10.0,0,road,0.9671059720901892,0.9857521735605104,3477934,3495437
GaussNoise,10.0,1,sidewalk,0.7105327003162859,0.7918097033435857,403160,365343
GaussNoise,10.0,2,building,0.8099466535985087,0.9383180540897936,1572940,1725219
GaussNoise,10.0,3,wall,0.0,0.0,4345,0
GaussNoise,10.0,4,fence,0.015144979630960939,0.08032536858159633,3934,17247
GaussNoise,10.0,5,pole,0.30502183676246797,0.45752143413873736,107772,103190
GaussNoise,10.0,6,traffic light,0.5572087554269175,0.5687490383135867,64990,38309
GaussNoise,10.0,7,traffic sign,0.6530810633812906,0.7035473345385599,90716,70833
GaussNoise,10.0,8,vegetation,0.8524692509966918,0.9141744476227258,1923821,1897962
GaussNoise,10.0,9,terrain,0.5528192341512184,0.6181868387201056,148481,109346
GaussNoise,10.0,10,sky,0.9186969868435799,0.9616112021928281,349503,352412
GaussNoise,10.0,11,person,0.28433975634119063,0.341835163707277,97430,53006
GaussNoise,10.0,12,rider,0.0,0.0,5979,0
GaussNoise,10.0,13,car,0.8702268874754753,0.9415030016831668,935142,957032
GaussNoise,10.0,14,truck,0.7187846452328159,0.8476639905211334,48951,50271
GaussNoise,10.0,15,bus,,,0,0
GaussNoise,10.0,16,train,,,0,0
GaussNoise,10.0,17,motorcycle,,,0,0
GaussNoise,10.0,18,bicycle,0.23288843258042435,0.3691014283131441,11062,10553
GaussNoise,20.0,0,road,0.9651489132573344,0.9859172140701923,3477934,3503794
