distortion,level,condition,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,5.0,distorted,0,road,0.9689064402771532,0.9843855576327786,3477934,3479191
GaussNoise,5.0,distorted,1,sidewalk,0.7082423413230896,0.8012153983530113,403160,375942
GaussNoise,5.0,distorted,2,building,0.8175008207571853,0.9355970348519334,1572940,1698865
GaussNoise,5.0,distorted,3,wall,0.0,0.0,4345,220
GaussNoise,5.0,distorted,4,fence,0.011176048395365528,0.05541433655312659,3934,15790
GaussNoise,5.0,distorted,5,pole,0.31271257849643574,0.4717644657239357,107772,105658
GaussNoise,5.0,distorted,6,traffic light,0.6191284916201117,0.6394676104016003,64990,43694
GaussNoise,5.0,distorted,7,traffic sign,0.6828711558036954,0.7321089995149698,90716,72955
GaussNoise,5.0,distorted,8,vegetation,0.8637139313460872,0.9244924553791647,1923821,1913935
GaussNoise,5.0,distorted,9,terrain,0.5468536668971247,0.6339194913827358,148481,117765
GaussNoise,5.0,distorted,10,sky,0.9165370244424925,0.9524009808213377,349503,346543
GaussNoise,5.0,distorted,11,person,0.22332621174290201,0.2671456430257621,97430,45145
GaussNoise,5.0,distorted,12,rider,0.0,0.0,5979,0
GaussNoise,5.0,distorted,13,car,0.8672561526993671,0.948666619614989,935142,974921
GaussNoise,5.0,distorted,14,truck,0.658668319461661,0.7598414741271884,48951,44714
GaussNoise,5.0,distorted,15,bus,,,0,0
GaussNoise,5.0,distorted,16,train,,,0,0
GaussNoise,5.0,distorted,17,motorcycle,,,0,0
GaussNoise,5.0,distorted,18,bicycle,0.23324880247957172,0.3741638040137407,11062,10822
GaussNoise,5.0,restored,0,road,0.9539530062275987,0.9679070965694001,3477934,3417191
GaussNoise,5.0,restored,1,sidewalk,0.5722056610185949,0.7308339120944538,403160,406408
GaussNoise,5.0,restored,2,building,0.7359279451947032,0.9159077905069488,1572940,1825349
GaussNoise,5.0,restored,3,wall,0.0,0.0,4345,12198
GaussNoise,5.0,restored,4,fence,0.0,0.0,3934,6204
GaussNoise,5.0,restored,5,pole,0.2811770144755249,0.43454700664365514,107772,105617
GaussNoise,5.0,restored,6,traffic light,0.6139316382290622,0.6776581012463456,64990,50787
GaussNoise,5.0,restored,7,traffic sign,0.5705944307914042,0.6808060320119935,90716,79282
GaussNoise,5.0,restored,8,vegetation,0.7853043611644454,0.8489142181107286,1923821,1788989
GaussNoise,5.0,restored,9,terrain,0.35932610915318997,0.4408442831069295,148481,99142
GaussNoise,5.0,restored,10,sky,0.8966204807975773,0.9572335573657451,349503,358183
GaussNoise,5.0,restored,11,person,0.17604195891393123,0.23184850662013753,97430,53475
GaussNoise,5.0,restored,12,rider,0.0,0.0,5979,0
GaussNoise,5.0,restored,13,car,0.79337444532854,0.909511068907182,935142,987411
GaussNoise,5.0,restored,14,truck,0.000429000429000429,0.000429000429000429,48951,21
GaussNoise,5.0,restored,15,bus,0.0,,0,542
GaussNoise,5.0,restored,16,train,,,0,0
GaussNoise,5.0,restored,17,motorcycle,0.0,,0,55288
GaussNoise,5.0,restored,18,bicycle,0.0,0.0,11062,73
GaussNoise,10.0,distorted,0,road,0.9671059720901892,0.9857521735605104,3477934,3495437
GaussNoise,10.0,distorted,1,sidewalk,0.7105327003162859,0.7918097033435857,403160,365343
GaussNoise,10.0,distorted,2,building,0.8099466535985087,0.9383180540897936,1572940,1725219
GaussNoise,10.0,distorted,3,wall,0.0,0.0,4345,0
GaussNoise,10.0,distorted,4,fence,0.015144979630960939,0.08032536858159633,3934,17247
GaussNoise,10.0,distorted,5,pole,0.30502183676246797,0.45752143413873736,107772,103190
GaussNoise,10.0,distorted,6,traffic light,0.5572087554269175,0.5687490383135867,64990,38309
GaussNoise,10.0,distorted,7,traffic sign,0.6530810633812906,0.7035473345385599,90716,70833
GaussNoise,10.0,distorted,8,vegetation,0.8524692509966918,0.9141744476227258,1923821,1897962
GaussNoise,10.0,distorted,9,terrain,0.5528192341512184,0.6181868387201056,148481,109346
GaussNoise,10.0,distorted,10,sky,0.9186969868435799,0.9616112021928281,349503,352412
GaussNoise,10.0,distorted,11,person,0.28433975634119063,0.341835163707277,97430,53006
GaussNoise,10.0,distorted,12,rider,0.0,0.0,5979,0
GaussNoise,10.0,distorted,13,car,0.8702268874754753,0.9415030016831668,935142,957032
GaussNoise,10.0,distorted,14,truck,0.7187846452328159,0.8476639905211334,48951,50271
GaussNoise,10.0,distorted,15,bus,,,0,0
GaussNoise,10.0,distorted,16,train,,,0,0
GaussNoise,10.0,distorted,17,motorcycle,,,0,0
GaussNoise,10.0,distorted,18,bicycle,0.23288843258042435,0.3691014283131441,11062,10553
GaussNoise,10.0,restored,0,road,0.9564600041182055,0.973632334598644,3477934,3448672
GaussNoise,10.0,restored,1,sidewalk,0.5658428639046552,0.6938634785196944,403160,370952
GaussNoise,10.0,restored,2,building,0.730833332068048,0.9180318384680916,1572940,1846908
GaussNoise,10.0,restored,3,wall,0.0,0.0,4345,5934
GaussNoise,10.0,restored,4,fence,0.0,0.0,3934,4204
GaussNoise,10.0,restored,5,pole,0.2891102091788948,0.4296199383884497,107772,98679
GaussNoise,10.0,restored,6,traffic light,0.5708441496663359,0.6462686567164179,64990,50588
GaussNoise,10.0,restored,7,traffic sign,0.5630553876032907,0.6775210547202257,90716,79904
