distortion,level,model,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
Clean,,pretrained,person,0.21317545774804253,0.3804689316740798,0.07169811320754717,0.6551724137931034,0.699546481859232,29.0,265.0
Clean,,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,13.0
Clean,,pretrained,car,0.38272952977097036,0.5901237828631873,0.08137044967880086,0.6909090909090909,0.7740973456194422,55.0,467.0
Clean,,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,3.0
Clean,,pretrained,bus,,,0.0,0.0,0.0,0.0,11.0
Clean,,pretrained,train,,,0.0,0.0,0.0,0.0,1.0
Clean,,pretrained,truck,0.5504950495049504,1.0,0.05263157894736842,1.0,0.7650120587274871,2.0,38.0
Clean,,fine_tuned,person,0.002048436650719659,0.006471592439792848,0.009333333333333334,0.4827586206896552,0.6661472239313465,29.0,1500.0
Clean,,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
Clean,,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
Clean,,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
Clean,,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
Clean,,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
Clean,,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
GaussNoise,5.0,pretrained,person,0.19968832567807687,0.3742568512412414,0.06273062730627306,0.5862068965517241,0.699980328604571,29.0,271.0
GaussNoise,5.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,15.0
GaussNoise,5.0,pretrained,car,0.3801279905812688,0.5654210192390737,0.07429718875502007,0.6727272727272727,0.7627855556371328,55.0,498.0
GaussNoise,5.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,5.0
GaussNoise,5.0,pretrained,bus,,,0.0,0.0,0.0,0.0,7.0
GaussNoise,5.0,pretrained,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,5.0,pretrained,truck,0.5252475247524753,1.0,0.0625,1.0,0.7469718954379567,2.0,32.0
GaussNoise,5.0,fine_tuned,person,0.0017423738530405598,0.005231884305498329,0.008,0.41379310344827586,0.6778897240825437,29.0,1500.0
GaussNoise,5.0,fine_tuned,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,0.0
GaussNoise,5.0,fine_tuned,car,0.0,0.0,0.0,0.0,0.0,55.0,0.0
GaussNoise,5.0,fine_tuned,motorcycle,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,5.0,fine_tuned,bus,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,5.0,fine_tuned,train,,,0.0,0.0,0.0,0.0,0.0
GaussNoise,5.0,fine_tuned,truck,0.0,0.0,0.0,0.0,0.0,2.0,0.0
GaussNoise,10.0,pretrained,person,0.20809189278193568,0.35295694799240585,0.06995884773662552,0.5862068965517241,0.7252460424622783,29.0,243.0
GaussNoise,10.0,pretrained,bicycle,0.0,0.0,0.0,0.0,0.0,8.0,21.0
GaussNoise,10.0,pretrained,car,0.35964467555929647,0.5511190193138809,0.06642728904847396,0.6727272727272727,0.7480195590491467,55.0,557.0
GaussNoise,10.0,pretrained,motorcycle,,,0.0,0.0,0.0,0.0,6.0
