distortion,level_index,level,sample_count,mean_snr_db,pretrained_map_50_95,finetuned_map_50_95,map_50_95_gain,pretrained_map_50,finetuned_map_50,pretrained_recall_50,finetuned_recall_50
Clean,0,,5,,0.28660000925599083,0.0005121091626799147,-0.2860879000933109,0.49264817863431676,0.001617898109948212,0.5865203761755486,0.1206896551724138
GaussNoise,0,5.0,5,25.5223190229186,0.27626596025295524,0.00043559346326013995,-0.2758303667896951,0.48491946762007876,0.0013079710763745822,0.5647335423197493,0.10344827586206896
GaussNoise,1,10.0,5,19.59351097151657,0.266934142085308,0.00042545182139841514,-0.2665086902639096,0.4760189918265717,0.0012183626288472782,0.5647335423197493,0.10344827586206896
GaussNoise,2,20.0,5,13.77139164017245,0.236450144794373,0.0002962362341944862,-0.23615390856017854,0.43673856143705647,0.0007582927975283019,0.5343260188087775,0.07758620689655173
GaussNoise,3,35.0,5,9.299981430718669,0.16005301428716967,0.0003128237871477211,-0.15974019050002194,0.3138963212926534,0.000770853988205537,0.5175548589341693,0.06896551724137931
GaussNoise,4,50.0,5,6.605820457310548,0.12795652823387577,0.00015476459562872147,-0.12780176363824705,0.273864120268961,0.0005249660968594091,0.4543887147335423,0.05172413793103448
SevereJPEG,0,80.0,5,31.07371748960399,0.28608782461244386,0.0006193830041636068,-0.2854684416082803,0.49306403695616347,0.001860671009513432,0.581974921630094,0.12931034482758622
SevereJPEG,1,60.0,5,29.401120979283377,0.2754850874660616,0.00046596610825619953,-0.2750191213578054,0.49316626993508805,0.0013614996411408162,0.5869905956112853,0.11206896551724138
SevereJPEG,2,40.0,5,28.19063190079263,0.2833991363238121,0.0003929716309367436,-0.2830061646928753,0.48679676798107546,0.001276529209959964,0.5692789968652038,0.10344827586206896
SevereJPEG,3,20.0,5,25.563536313179238,0.2749472124750729,0.0003640516649134456,-0.2745831608101595,0.48011576267886935,0.0009338518250221256,0.5647335423197493,0.09482758620689655
SevereJPEG,4,5.0,5,18.764480761722844,0.1920653766399228,0.00027040704847212997,-0.19179496959145065,0.3401231932983687,0.0006160272306174195,0.5343260188087775,0.06896551724137931
LowLight,0,0.8,5,13.84361073244057,0.2898185896790833,0.00046277976977671716,-0.2893558099093066,0.4921579117311088,0.001335746371064578,0.581974921630094,0.10344827586206896
LowLight,1,0.6,5,7.891327355808369,0.28528801346592836,0.00042474153269049476,-0.28486327193323785,0.4853459249541101,0.0013458312716136192,0.5642633228840126,0.10344827586206896
LowLight,2,0.4,5,4.391756771693496,0.298823392970393,0.0003085082115763173,-0.2985148847588167,0.4744758523862606,0.0009290631005154131,0.5515673981191223,0.09482758620689655
LowLight,3,0.25,5,2.457466829627216,0.26378965577034674,0.0003076078087414202,-0.26348204796160535,0.41930769885467817,0.0009090556692335082,0.525705329153605,0.09482758620689655
LowLight,4,0.1,5,0.8769854065281036,0.2171383777271908,0.00024459551159313674,-0.21689378221559766,0.3920315721279175,0.0008231693794889217,0.5216300940438872,0.06896551724137931
MotionBlur,0,3.0,5,33.022771447517115,0.29223942092913213,0.0004628437653576609,-0.2917765771637745,0.4966557593050574,0.001344320163828922,0.5738244514106583,0.10344827586206896
MotionBlur,1,5.0,5,26.933660280642947,0.28563799794714506,0.00048687427659917313,-0.2851511236705459,0.4983939031141314,0.001408460313440201,0.5915360501567398,0.10344827586206896
MotionBlur,2,9.0,5,23.568083331324175,0.29237113047146274,0.00034869526350212756,-0.2920224352079606,0.4900943271612996,0.0008136692121166463,0.5656739811912226,0.07758620689655173
MotionBlur,3,15.0,5,20.33381056717518,0.2622902497197076,0.0002391613169422866,-0.2620510884027653,0.461963768235902,0.00046942964899994216,0.5352664576802508,0.05172413793103448
MotionBlur,4,25.0,5,17.84605804472762,0.21488448740850533,7.130141333303399e-05,-0.2148131859951723,0.40030624884160937,0.00018480354822812597,0.5170846394984325,0.02586206896551724
