sample_id,orb_keypoints,orb_self_match_retention,canny_edge_pixels,canny_self_f1,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
frankfurt_000000_009688,800.0,1.0,5785.0,1.0,0.4829336711817416,11,9,72
frankfurt_000000_009969,800.0,1.0,30594.0,1.0,0.5622396269574408,14,13,157
frankfurt_000000_011007,800.0,1.0,13522.0,1.0,0.5345720381763204,14,7,72
frankfurt_000000_011074,800.0,1.0,12082.0,1.0,0.4621761338884717,14,7,102
frankfurt_000000_011461,800.0,1.0,32422.0,1.0,0.5377646630402241,12,9,194
frankfurt_000000_012868,800.0,1.0,40515.0,1.0,0.467055375187218,14,20,237
frankfurt_000000_013067,800.0,1.0,38824.0,1.0,0.339399497717968,15,11,173
frankfurt_000000_013240,800.0,1.0,32101.0,1.0,0.5799061584138047,12,10,175
frankfurt_000000_013382,800.0,1.0,22666.0,1.0,0.45810924919152024,14,16,121
frankfurt_000000_015389,800.0,1.0,25822.0,1.0,0.4011703626160164,14,8,130
frankfurt_000000_016005,800.0,1.0,17291.0,1.0,0.35325688254402315,15,15,94
frankfurt_000000_017228,800.0,1.0,18513.0,1.0,0.46143265681070883,14,14,113
frankfurt_000000_018797,800.0,1.0,35048.0,1.0,0.4358696708578347,15,15,125
frankfurt_000000_020321,800.0,1.0,20824.0,1.0,0.4817368153928072,13,27,185
frankfurt_000000_021667,800.0,1.0,14787.0,1.0,0.3486350918113573,16,15,84
frankfurt_000000_021879,800.0,1.0,8054.0,1.0,0.42932452715536645,14,20,137
frankfurt_000000_022254,800.0,1.0,17528.0,1.0,0.5285893947989772,14,13,191
frankfurt_000000_022797,800.0,1.0,36750.0,1.0,0.44281673896831214,15,24,122
frankfurt_000001_002512,800.0,1.0,7429.0,1.0,0.2939175534506057,14,11,125
frankfurt_000001_005184,800.0,1.0,18852.0,1.0,0.5259338795955514,13,18,151
frankfurt_000001_005898,800.0,1.0,11516.0,1.0,0.529139003190189,13,7,150
frankfurt_000001_007973,800.0,1.0,29566.0,1.0,0.36405980625881107,15,15,206
frankfurt_000001_009854,800.0,1.0,25413.0,1.0,0.3953325096386176,12,22,162
frankfurt_000001_010830,800.0,1.0,37878.0,1.0,0.5016195438193445,11,18,215
frankfurt_000001_012738,800.0,1.0,20488.0,1.0,0.3284767290537333,15,27,152
frankfurt_000001_014741,800.0,1.0,28086.0,1.0,0.3592929153975894,16,22,117
frankfurt_000001_016029,800.0,1.0,45727.0,1.0,0.4525104895854347,13,22,206
frankfurt_000001_019969,800.0,1.0,24949.0,1.0,0.43923961321175703,14,17,71
frankfurt_000001_021406,800.0,1.0,22879.0,1.0,0.5734522975179143,12,17,58
frankfurt_000001_023769,800.0,1.0,10400.0,1.0,0.3516631127669866,14,16,167
frankfurt_000001_024927,800.0,1.0,25534.0,1.0,0.37550666313257614,15,23,128
frankfurt_000001_029086,800.0,1.0,30305.0,1.0,0.5997921750491305,13,17,116
frankfurt_000001_029236,800.0,1.0,41713.0,1.0,0.339469498442642,13,18,189
frankfurt_000001_030310,800.0,1.0,27365.0,1.0,0.46015040781404787,13,27,170
frankfurt_000001_035144,800.0,1.0,13889.0,1.0,0.547285579768239,14,36,140
frankfurt_000001_040732,800.0,1.0,26314.0,1.0,0.4508262889147941,16,18,186
frankfurt_000001_041074,800.0,1.0,25893.0,1.0,0.40457674039685393,14,12,153
frankfurt_000001_042384,800.0,1.0,20521.0,1.0,0.4763746773663917,14,10,110
frankfurt_000001_044227,800.0,1.0,6399.0,1.0,0.44591636963055314,13,7,164
frankfurt_000001_044658,800.0,1.0,9440.0,1.0,0.43769608122686415,15,19,174
frankfurt_000001_046779,800.0,1.0,27947.0,1.0,0.3721796689662211,14,27,215
frankfurt_000001_049698,800.0,1.0,11701.0,1.0,0.48287319669342177,13,23,135
frankfurt_000001_049770,800.0,1.0,13595.0,1.0,0.411124001260357,15,29,136
frankfurt_000001_051737,800.0,1.0,16412.0,1.0,0.4957184321022802,13,28,100
frankfurt_000001_054219,800.0,1.0,22132.0,1.0,0.4769930185450297,12,26,183
frankfurt_000001_054640,800.0,1.0,38237.0,1.0,0.4948218461815924,14,49,219
frankfurt_000001_055172,800.0,1.0,15389.0,1.0,0.5300982407888504,8,18,151
frankfurt_000001_058504,800.0,1.0,20579.0,1.0,0.5047654671633034,10,19,165
frankfurt_000001_058914,800.0,1.0,25590.0,1.0,0.4541795062685732,12,29,153
frankfurt_000001_062250,800.0,1.0,4412.0,1.0,0.39320656494843037,14,18,124
frankfurt_000001_062396,800.0,1.0,10409.0,1.0,0.6131830825072895,13,23,134
