distortion,level,condition,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,5.0,distorted,0,road,0.9619691062602101,0.9795421466879979,83055684,82873786
GaussNoise,5.0,distorted,1,sidewalk,0.7382326693191544,0.8186208275178803,13341609,12374523
GaussNoise,5.0,distorted,2,building,0.8674886070725549,0.9528696024704982,54242339,57024580
GaussNoise,5.0,distorted,3,wall,0.3613883293473556,0.4747403272444549,1259181,992735
GaussNoise,5.0,distorted,4,fence,0.3845469031380703,0.5668388834459146,2904866,3023624
GaussNoise,5.0,distorted,5,pole,0.30502331585353265,0.41139988611374,3268173,2484298
GaussNoise,5.0,distorted,6,traffic light,0.3700519743754242,0.40771875332934493,488084,248682
GaussNoise,5.0,distorted,7,traffic sign,0.515630409946201,0.5878896417848826,1656714,1206133
GaussNoise,5.0,distorted,8,vegetation,0.8689110149280203,0.9396407867307323,37874102,38671021
GaussNoise,5.0,distorted,9,terrain,0.5088925194402519,0.5944030807282643,1774905,1353251
GaussNoise,5.0,distorted,10,sky,0.9195441329735943,0.9547141538510546,7910794,7855113
GaussNoise,5.0,distorted,11,person,0.5566660912161331,0.7174924215961991,3186357,3206757
GaussNoise,5.0,distorted,12,rider,0.2036856071774567,0.25557317266529256,378420,193114
GaussNoise,5.0,distorted,13,car,0.8745260877031924,0.9395837229490873,13170027,13354086
GaussNoise,5.0,distorted,14,truck,0.7828675056611188,0.8413552132507278,866609,793870
GaussNoise,5.0,distorted,15,bus,0.6474157138242222,0.7307712772616871,638992,549228
GaussNoise,5.0,distorted,16,train,0.32743768090897307,0.5971353387012905,63463,90168
GaussNoise,5.0,distorted,17,motorcycle,0.31278431238167037,0.36670148444248035,199132,107348
GaussNoise,5.0,distorted,18,bicycle,0.5486671465399275,0.6790547572315275,1474965,1352099
GaussNoise,5.0,restored,0,road,0.9271206302299992,0.9562826789795627,83055684,82037181
GaussNoise,5.0,restored,1,sidewalk,0.5688259637931947,0.6808266529172006,13341609,11710259
GaussNoise,5.0,restored,2,building,0.8278092250272059,0.9324476586453988,54242339,57434593
GaussNoise,5.0,restored,3,wall,0.25529013812632595,0.4453331173199087,1259181,1498114
GaussNoise,5.0,restored,4,fence,0.337281585904958,0.502137103742479,2904866,2878473
GaussNoise,5.0,restored,5,pole,0.2526326960803316,0.36491672870438624,3268173,2645169
GaussNoise,5.0,restored,6,traffic light,0.3458637122932624,0.41529736684669033,488084,300685
GaussNoise,5.0,restored,7,traffic sign,0.4116131367453008,0.4681351156566553,1656714,1003063
GaussNoise,5.0,restored,8,vegetation,0.8102435253402089,0.8926643066019097,37874102,37661544
GaussNoise,5.0,restored,9,terrain,0.35609371412153895,0.5390891343480355,1774905,1868950
GaussNoise,5.0,restored,10,sky,0.8907961982025803,0.9301882971544955,7910794,7708353
GaussNoise,5.0,restored,11,person,0.49807064855541855,0.740713297348665,3186357,3912459
GaussNoise,5.0,restored,12,rider,0.09946216195742746,0.12837852121980867,378420,158598
GaussNoise,5.0,restored,13,car,0.8319738000386709,0.9291759994113907,13170027,13775970
GaussNoise,5.0,restored,14,truck,0.6951440230676365,0.8039634944940567,866609,832383
GaussNoise,5.0,restored,15,bus,0.4669665874740939,0.7228572501690163,638992,812058
GaussNoise,5.0,restored,16,train,0.007630337018552273,0.05844350251327545,63463,426332
GaussNoise,5.0,restored,17,motorcycle,0.19447933190419006,0.2838268083482313,199132,148004
GaussNoise,5.0,restored,18,bicycle,0.3913319515139096,0.46093975111273827,1474965,942228
GaussNoise,10.0,distorted,0,road,0.9584151366086511,0.9791311573570329,83055684,83117646
GaussNoise,10.0,distorted,1,sidewalk,0.7176242645080192,0.797949707565257,13341609,12139292
GaussNoise,10.0,distorted,2,building,0.8609208867564655,0.953664129417428,54242339,57572263
GaussNoise,10.0,distorted,3,wall,0.3829690320011349,0.4780837703237263,1259181,914726
GaussNoise,10.0,distorted,4,fence,0.39154776629027216,0.5600468317643568,2904866,2876944
GaussNoise,10.0,distorted,5,pole,0.29790677694664097,0.4066825715774532,3268173,2522429
GaussNoise,10.0,distorted,6,traffic light,0.3431998391067445,0.3775968890600798,488084,233217
GaussNoise,10.0,distorted,7,traffic sign,0.4976573484953826,0.5595129877576939,1656714,1132872
GaussNoise,10.0,distorted,8,vegetation,0.8659274993167302,0.9341647757087416,37874102,38365227
GaussNoise,10.0,distorted,9,terrain,0.4754312050353274,0.5612041207839292,1774905,1316296
GaussNoise,10.0,distorted,10,sky,0.9183255331776535,0.9576335826719796,7910794,7914256
GaussNoise,10.0,distorted,11,person,0.5393679836329551,0.7118866467253984,3186357,3287492
GaussNoise,10.0,distorted,12,rider,0.1789108327569866,0.22148406532424292,378420,173862
GaussNoise,10.0,distorted,13,car,0.8662191688696859,0.934971507651427,13170027,13358913
GaussNoise,10.0,distorted,14,truck,0.7851958332258979,0.8433491920808577,866609,795037
GaussNoise,10.0,distorted,15,bus,0.6210929574775333,0.6515511931291784,638992,447672
GaussNoise,10.0,distorted,16,train,0.2117674445673049,0.5733734617020941,63463,144755
GaussNoise,10.0,distorted,17,motorcycle,0.2683588157037465,0.3454291625655344,199132,125975
GaussNoise,10.0,distorted,18,bicycle,0.5396809632347951,0.6631438712105033,1474965,1315542
GaussNoise,10.0,restored,0,road,0.9279786682775869,0.9579128985320258,83055684,82239276
GaussNoise,10.0,restored,1,sidewalk,0.5683046209181919,0.6745174438855164,13341609,11492617
GaussNoise,10.0,restored,2,building,0.8247397752535349,0.9354850829718092,54242339,58026511
GaussNoise,10.0,restored,3,wall,0.25941985001508466,0.45889987221852935,1259181,1546081
GaussNoise,10.0,restored,4,fence,0.33533110850126163,0.4963764249366408,2904866,2836991
GaussNoise,10.0,restored,5,pole,0.2518789713173436,0.3630028153344392,3268173,2628207
GaussNoise,10.0,restored,6,traffic light,0.343436915704163,0.411705771957286,488084,297969
