distortion,level_index,level,sample_count,mean_snr_db,pretrained_map_50_95,finetuned_map_50_95,map_50_95_gain,pretrained_map_50,finetuned_map_50,pretrained_recall_50,finetuned_recall_50
Clean,0,,125,,0.1761800359290666,0.17662345592913914,0.000443420000072553,0.2915645251499263,0.292603649713584,0.47923317022823836,0.4533025029283831
GaussNoise,0,5.0,125,25.238656503433706,0.18495691795993704,0.17906633318320608,-0.005890584776730962,0.3200155061131835,0.2956656476459402,0.4743042991977367,0.451548555972181
GaussNoise,1,10.0,125,19.286547828306666,0.16070566280978957,0.17248109229165415,0.01177542948186458,0.2644138762127804,0.274464198307312,0.4509221452027803,0.48335842606315743
GaussNoise,2,20.0,125,13.410286555971492,0.12561461723643613,0.15282565317312818,0.027211035936692052,0.21552841330386058,0.25391202147057595,0.40251088754996195,0.4164895947121226
GaussNoise,3,35.0,125,8.893879383749889,0.06385337578658347,0.10815592992351618,0.04430255413693271,0.11457792956161542,0.19115582917680274,0.2527244735772661,0.4556645129798485
GaussNoise,4,50.0,125,6.195878545372673,0.029726973098698845,0.08395395938747595,0.054226986288777104,0.054064649569677825,0.15354868575633596,0.14550949539826102,0.3069016506046203
SevereJPEG,0,80.0,125,31.325761684569365,0.17430258739895801,0.17799891800895604,0.003696330609998022,0.28765585345280187,0.29039525648317366,0.4696599810725485,0.46211389324164315
SevereJPEG,1,60.0,125,29.599658639517774,0.17680955607619822,0.17594148192333353,-0.0008680741528646896,0.29041751905905944,0.2876392730754579,0.48181506621382825,0.46037369319655136
SevereJPEG,2,40.0,125,28.369669776791945,0.17607642442469412,0.1748978593746952,-0.0011785650499989142,0.3061981423446437,0.28035919213700816,0.45905053055307354,0.44790602562552584
SevereJPEG,3,20.0,125,25.723066916700166,0.1631386988798448,0.1657393170932137,0.002600618213368905,0.27141567566771213,0.26997868054138985,0.46246100725535777,0.4404980626629716
SevereJPEG,4,5.0,125,18.50468299320412,0.10690794370690307,0.11670851090402008,0.009800567197117013,0.17307339909103583,0.19889745115949345,0.3747166992717353,0.43169232642586913
LowLight,0,0.8,125,13.822912186791497,0.17292573671173495,0.17707266219619447,0.004146925484459524,0.2824536372133374,0.29211826690124065,0.47754838234728864,0.4542901342172615
LowLight,1,0.6,125,7.880950660435266,0.17249035802851473,0.17655751896437064,0.004067160935855907,0.2772155803347441,0.29057011999578336,0.4702786866738041,0.5056672103964485
LowLight,2,0.4,125,4.3847848960593305,0.16753907684914826,0.16971035950554894,0.0021712826564006804,0.2652619171302882,0.2795694972690071,0.4543611729446876,0.48845327620729695
LowLight,3,0.25,125,2.455643534435188,0.149253071880552,0.16849092587040834,0.019237853989856335,0.24346632047822273,0.2744899260354547,0.4188858963556926,0.480995797953896
LowLight,4,0.1,125,0.8736820382822406,0.09533335849945297,0.13654893020096517,0.0412155717015122,0.17135249322854057,0.23197656070002387,0.31825823681423326,0.4917239826919569
MotionBlur,0,3.0,125,33.44332108472217,0.17160822280673088,0.17864733712383288,0.0070391143171019965,0.28483788642704627,0.2892079068895303,0.4721291656241862,0.44834418118439456
MotionBlur,1,5.0,125,27.497189104952337,0.17001536456066418,0.1739399673736182,0.003924602812954009,0.2744138773630416,0.2861029496957991,0.45046646467131024,0.4516398935763655
MotionBlur,2,9.0,125,24.09807720919974,0.15213980972737645,0.1671033548512475,0.014963545123871047,0.2483617633482491,0.2752175171298926,0.4375719864567483,0.44801022492488085
MotionBlur,3,15.0,125,20.894327449793806,0.12915858175358302,0.1530950194580658,0.023936437704482783,0.2293822591424781,0.25347824387397444,0.41669939361350733,0.4123857754887764
MotionBlur,4,25.0,125,18.42366432121928,0.0870040099950709,0.12477192454527575,0.037767914550204854,0.16163911880992973,0.22292826571346744,0.3552311618771989,0.39987437945149196
