sample_id,orb_keypoints,orb_self_match_retention,seg_mean_iou,seg_classes_present,gt_detection_objects,yolo_detection_objects
frankfurt_000000_000294,800.0,1.0,0.5747050085092247,11,7,86
frankfurt_000000_000576,800.0,1.0,0.574816110236052,12,19,130
frankfurt_000000_001016,800.0,1.0,0.47219678127730463,12,8,156
frankfurt_000000_001236,800.0,1.0,0.3475570338144152,16,31,141
frankfurt_000000_001751,800.0,1.0,0.3677939336426659,15,24,129
frankfurt_000000_002196,800.0,1.0,0.4634960378006663,12,21,145
frankfurt_000000_002963,800.0,1.0,0.46896723155152314,15,17,163
frankfurt_000000_003025,800.0,1.0,0.4875951396876981,14,20,164
frankfurt_000000_003357,800.0,1.0,0.4829064716609265,15,18,131
frankfurt_000000_003920,800.0,1.0,0.5015121846774026,12,7,165
frankfurt_000000_004617,800.0,1.0,0.5497746284052524,11,10,101
frankfurt_000000_005543,800.0,1.0,0.5013501381389,13,15,198
frankfurt_000000_005898,800.0,1.0,0.43148678781733113,18,12,151
frankfurt_000000_006589,800.0,1.0,0.4210361264705865,15,10,91
frankfurt_000000_007365,800.0,1.0,0.45904955839480927,14,7,68
frankfurt_000000_008206,800.0,1.0,0.44508557687457057,13,18,152
frankfurt_000000_008451,800.0,1.0,0.42760621213682737,15,15,118
frankfurt_000000_009291,800.0,1.0,0.4751745089027686,13,13,79
frankfurt_000000_009561,800.0,1.0,0.4985292265910359,15,17,128
frankfurt_000000_009688,800.0,1.0,0.4829325093282224,11,9,72
frankfurt_000000_009969,800.0,1.0,0.5623807212905855,14,13,156
frankfurt_000000_010351,800.0,1.0,0.4847770255975752,13,4,83
frankfurt_000000_010763,800.0,1.0,0.39705859460368864,17,4,109
frankfurt_000000_011007,800.0,1.0,0.5345892347650191,14,7,74
frankfurt_000000_011074,800.0,1.0,0.4621941871984384,14,7,102
frankfurt_000000_011461,800.0,1.0,0.5378941736042969,12,9,196
frankfurt_000000_011810,800.0,1.0,0.4047701491564496,16,18,185
frankfurt_000000_012009,800.0,1.0,0.42510686929257724,12,11,126
frankfurt_000000_012121,800.0,1.0,0.4018143883919164,15,14,177
frankfurt_000000_012868,800.0,1.0,0.46740785101312576,14,20,236
frankfurt_000000_013067,800.0,1.0,0.33945344419398343,15,11,171
frankfurt_000000_013240,800.0,1.0,0.5797638139363931,12,10,174
frankfurt_000000_013382,800.0,1.0,0.45809363725625424,14,16,123
frankfurt_000000_013942,800.0,1.0,0.44030575911411474,16,5,174
frankfurt_000000_014480,800.0,1.0,0.5161073851489321,12,7,167
frankfurt_000000_015389,800.0,1.0,0.4012306016068395,14,8,130
frankfurt_000000_015676,800.0,1.0,0.4876727981034706,14,12,211
frankfurt_000000_016005,800.0,1.0,0.3532478942371324,15,15,95
frankfurt_000000_016286,800.0,1.0,0.40783465726937107,17,15,119
frankfurt_000000_017228,800.0,1.0,0.4617660190120905,14,14,113
frankfurt_000000_017476,800.0,1.0,0.3732896748662457,16,17,163
frankfurt_000000_018797,800.0,1.0,0.4358633564313938,15,15,121
frankfurt_000000_019607,800.0,1.0,0.524881627988625,13,21,179
frankfurt_000000_020215,800.0,1.0,0.34505904759410305,16,17,164
frankfurt_000000_020321,800.0,1.0,0.48183027326261024,13,27,182
frankfurt_000000_020880,800.0,1.0,0.5234296464777193,14,25,190
frankfurt_000000_021667,800.0,1.0,0.34864174778588497,16,15,85
frankfurt_000000_021879,800.0,1.0,0.4292775931335583,14,20,137
frankfurt_000000_022254,800.0,1.0,0.5286025354951783,14,13,190
frankfurt_000000_022797,800.0,1.0,0.4427546930963283,15,24,123
frankfurt_000001_000538,800.0,1.0,0.38337305526345977,14,13,200
frankfurt_000001_001464,800.0,1.0,0.378086076268597,17,7,109
frankfurt_000001_002512,800.0,1.0,0.2939883309544759,14,11,132
frankfurt_000001_002646,800.0,1.0,0.4302004809956004,16,36,160
frankfurt_000001_002759,800.0,1.0,0.4508015622003279,14,23,185
frankfurt_000001_003056,800.0,1.0,0.4594659026771827,16,11,147
frankfurt_000001_003588,800.0,1.0,0.3737084430348057,14,17,172
frankfurt_000001_004327,800.0,1.0,0.5610671846658657,12,10,109
frankfurt_000001_004736,800.0,1.0,0.45973780517298657,15,12,150
frankfurt_000001_004859,800.0,1.0,0.42486046377609654,14,9,104
frankfurt_000001_005184,800.0,1.0,0.5259855376655829,13,18,150
frankfurt_000001_005410,800.0,1.0,0.6625003861010132,13,25,232
frankfurt_000001_005703,800.0,1.0,0.3197077265382302,16,13,169
frankfurt_000001_005898,800.0,1.0,0.529104890118589,13,7,149
frankfurt_000001_007285,800.0,1.0,0.5714900970097094,14,13,179
frankfurt_000001_007407,800.0,1.0,0.3251304368659877,16,6,170
frankfurt_000001_007622,800.0,1.0,0.4251870639485928,13,12,173
frankfurt_000001_007857,800.0,1.0,0.5226061012017159,13,9,235
frankfurt_000001_007973,800.0,1.0,0.3640428406172574,15,15,206
frankfurt_000001_008200,800.0,1.0,0.406957074067859,14,18,66
frankfurt_000001_008688,800.0,1.0,0.5903093730510515,12,12,118
frankfurt_000001_009058,800.0,1.0,0.4059115872565687,12,13,144
frankfurt_000001_009504,800.0,1.0,0.31041023029712245,13,20,244
frankfurt_000001_009854,800.0,1.0,0.3951573719662908,12,22,162
frankfurt_000001_010156,800.0,1.0,0.5002860921044844,14,19,194
frankfurt_000001_010444,800.0,1.0,0.47250147253145675,11,16,226
frankfurt_000001_010600,800.0,1.0,0.4090427619090186,13,16,150
frankfurt_000001_010830,800.0,1.0,0.5015933437979929,11,18,212
frankfurt_000001_011162,800.0,1.0,0.46790140406933417,13,30,223
frankfurt_000001_011715,800.0,1.0,0.4979947192330119,14,25,191
frankfurt_000001_011835,800.0,1.0,0.5544758421538388,12,25,181
frankfurt_000001_012038,800.0,1.0,0.5022095093260757,15,22,226
frankfurt_000001_012519,800.0,1.0,0.45754935187221063,13,21,230
frankfurt_000001_012699,800.0,1.0,0.3973128948713146,11,31,223
frankfurt_000001_012738,800.0,1.0,0.3284293533640198,15,27,154
frankfurt_000001_012870,800.0,1.0,0.44669752965396387,12,42,183
frankfurt_000001_013016,800.0,1.0,0.5189883425109615,12,31,161
frankfurt_000001_013496,800.0,1.0,0.4217784745495389,14,49,211
frankfurt_000001_013710,800.0,1.0,0.40937350130501143,15,28,191
frankfurt_000001_014221,800.0,1.0,0.46161591242316186,12,56,174
frankfurt_000001_014406,800.0,1.0,0.5169867793491787,11,31,202
frankfurt_000001_014565,800.0,1.0,0.38227672554446296,15,18,130
frankfurt_000001_014741,800.0,1.0,0.3593189947910236,16,22,112
frankfurt_000001_015091,800.0,1.0,0.5591939578810267,11,17,104
frankfurt_000001_015328,800.0,1.0,0.46178078157296665,12,38,157
frankfurt_000001_015768,800.0,1.0,0.4521195105717644,13,17,102
frankfurt_000001_016029,800.0,1.0,0.452710048901957,13,22,203
frankfurt_000001_016273,800.0,1.0,0.38493837063409414,16,19,146
frankfurt_000001_016462,800.0,1.0,0.5442278277700726,15,23,205
frankfurt_000001_017101,800.0,1.0,0.6069940549402268,11,64,210
frankfurt_000001_017459,800.0,1.0,0.4348968729983684,14,32,234
frankfurt_000001_017842,800.0,1.0,0.39219605410076597,16,25,188
frankfurt_000001_018113,800.0,1.0,0.4299635727675727,17,11,144
frankfurt_000001_019698,800.0,1.0,0.41566210557420097,12,8,62
frankfurt_000001_019854,800.0,1.0,0.3744581803971942,16,18,75
frankfurt_000001_019969,800.0,1.0,0.43919710766204795,14,17,71
frankfurt_000001_020046,800.0,1.0,0.5420023817704731,13,17,56
frankfurt_000001_020287,800.0,1.0,0.5420025608112691,14,23,106
frankfurt_000001_020693,800.0,1.0,0.41048615649144155,15,21,56
frankfurt_000001_021406,800.0,1.0,0.5732738945864578,12,17,59
frankfurt_000001_021825,800.0,1.0,0.5382801809676316,14,16,194
frankfurt_000001_023235,800.0,1.0,0.33337274138670353,15,6,105
frankfurt_000001_023369,800.0,1.0,0.37250597195712604,13,10,150
frankfurt_000001_023769,800.0,1.0,0.3518394271039572,14,16,167
frankfurt_000001_024927,800.0,1.0,0.3755379587865485,15,23,133
frankfurt_000001_025512,800.0,1.0,0.47063196834439175,14,18,140
frankfurt_000001_025713,800.0,1.0,0.4511640747909118,15,14,135
frankfurt_000001_025921,800.0,1.0,0.47358725012524455,15,13,144
frankfurt_000001_027325,800.0,1.0,0.4766687221053599,14,9,74
frankfurt_000001_028232,800.0,1.0,0.4580126377979584,13,14,121
frankfurt_000001_028335,800.0,1.0,0.4556781846528191,13,24,198
frankfurt_000001_028590,800.0,1.0,0.4750664504969478,12,29,178
frankfurt_000001_028854,800.0,1.0,0.42126983577292804,15,19,132
frankfurt_000001_029086,800.0,1.0,0.5997094702893762,13,17,113
frankfurt_000001_029236,800.0,1.0,0.33943159837275705,13,18,190
frankfurt_000001_029600,800.0,1.0,0.34902489037359596,13,16,123
