class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
0,road,0.9627071351221013,0.9788440305127049,345264442,343747360
1,sidewalk,0.7360670080788368,0.8207411611677478,49568652,46385209
2,building,0.8620233334067395,0.9429354017245744,201005428,208402100
3,wall,0.4379644458460908,0.5233849559004006,6718315,4826604
4,fence,0.37717997486858595,0.6293250458903065,7521741,9761909
5,pole,0.3130451200334689,0.41788264159394256,13565658,10211936
6,traffic light,0.3494273759478254,0.39345319297298764,1808393,939365
7,traffic sign,0.4740100092441346,0.5518355469565407,6098373,4366563
8,vegetation,0.8712307776592652,0.9480454554450006,158868008,164621168
9,terrain,0.571932443171713,0.6663481540915401,7625026,6339676
10,sky,0.913493144448585,0.9489719391105844,30765347,30390334
11,person,0.540631291409996,0.6976108631741806,11913424,11770157
12,rider,0.251717706136302,0.30295566502463056,1975596,1000657
13,car,0.8699204634635341,0.9368298489548605,59731217,60552176
14,truck,0.5458079089459249,0.6649545994853292,2760211,2437953
15,bus,0.5903596852124217,0.6803085498102787,3563120,2966908
16,train,0.5090999243291847,0.8001799063246379,1031648,1415353
17,motorcycle,0.33296234333352237,0.38635618954915923,729415,398783
18,bicycle,0.5534444569359164,0.7114322062887474,6504475,6484278
