distortion,level,class_name,map_50_95,ap_50,precision_50,recall_50,mean_matched_iou_50,gt_count,prediction_count
GaussNoise,5.0,person,0.17947044164686704,0.3390189137410153,0.0636053366428793,0.5734265734265734,0.7187057152659474,715.0,6446.0
GaussNoise,5.0,bicycle,0.08859479737525601,0.16530466615798806,0.058146577831617204,0.34532374100719426,0.6815293988196901,278.0,1651.0
GaussNoise,5.0,car,0.3272571270212486,0.5283858046154373,0.09239884028740704,0.644678979771328,0.7654914869186787,1137.0,7933.0
GaussNoise,5.0,motorcycle,0.056355267574760615,0.13233950091841762,0.072,0.24324324324324326,0.6833472818175409,37.0,125.0
GaussNoise,5.0,bus,0.3594163719475315,0.5027793749274593,0.02830188679245283,0.5714285714285714,0.8162615315818696,21.0,424.0
GaussNoise,5.0,train,0.100990099009901,0.33663366336633666,0.011363636363636364,0.3333333333333333,0.6102680914566286,3.0,88.0
GaussNoise,5.0,truck,0.18261432114399428,0.23564661906563092,0.02157164869029276,0.6086956521739131,0.7567942457475203,23.0,649.0
GaussNoise,10.0,person,0.16768264706986208,0.3153732532461573,0.061673306772908366,0.5412587412587413,0.718002108796254,715.0,6275.0
GaussNoise,10.0,bicycle,0.08257865948622012,0.16067638203704915,0.047164811870694226,0.32014388489208634,0.6989950416149592,278.0,1887.0
GaussNoise,10.0,car,0.3117619861525868,0.5100584448542488,0.0820285908781484,0.6358839050131926,0.7592991415131355,1137.0,8814.0
GaussNoise,10.0,motorcycle,0.029953259124682784,0.09240129758317446,0.05426356589147287,0.1891891891891892,0.7135167812343299,37.0,129.0
GaussNoise,10.0,bus,0.3393240113485033,0.43904425530272323,0.03225806451612903,0.5714285714285714,0.8318768770930624,21.0,372.0
GaussNoise,10.0,train,0.02244224422442244,0.1122112211221122,0.011111111111111112,0.3333333333333333,0.5736222995063476,3.0,90.0
GaussNoise,10.0,truck,0.1711968322622493,0.2211322793439975,0.02127659574468085,0.5652173913043478,0.7652784740685171,23.0,611.0
GaussNoise,20.0,person,0.13467372595574117,0.2697478203718227,0.05653710247349823,0.4699300699300699,0.7086388791887044,715.0,5943.0
GaussNoise,20.0,bicycle,0.06935796452096805,0.12432097100588248,0.04168759417378202,0.29856115107913667,0.6957597542761867,278.0,1991.0
GaussNoise,20.0,car,0.28597999687312364,0.4670222017509678,0.06392440244580322,0.6068601583113457,0.7514727453091801,1137.0,10794.0
