distortion,level,condition,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,5.0,distorted,0,road,0.9619691062602101,0.9795421466879979,83055684,82873786
GaussNoise,5.0,distorted,1,sidewalk,0.7382326693191544,0.8186208275178803,13341609,12374523
GaussNoise,5.0,distorted,2,building,0.8674886070725549,0.9528696024704982,54242339,57024580
GaussNoise,5.0,distorted,3,wall,0.3613883293473556,0.4747403272444549,1259181,992735
GaussNoise,5.0,distorted,4,fence,0.3845469031380703,0.5668388834459146,2904866,3023624
GaussNoise,5.0,distorted,5,pole,0.30502331585353265,0.41139988611374,3268173,2484298
GaussNoise,5.0,distorted,6,traffic light,0.3700519743754242,0.40771875332934493,488084,248682
GaussNoise,5.0,distorted,7,traffic sign,0.515630409946201,0.5878896417848826,1656714,1206133
GaussNoise,5.0,distorted,8,vegetation,0.8689110149280203,0.9396407867307323,37874102,38671021
GaussNoise,5.0,distorted,9,terrain,0.5088925194402519,0.5944030807282643,1774905,1353251
GaussNoise,5.0,distorted,10,sky,0.9195441329735943,0.9547141538510546,7910794,7855113
GaussNoise,5.0,distorted,11,person,0.5566660912161331,0.7174924215961991,3186357,3206757
GaussNoise,5.0,distorted,12,rider,0.2036856071774567,0.25557317266529256,378420,193114
GaussNoise,5.0,distorted,13,car,0.8745260877031924,0.9395837229490873,13170027,13354086
GaussNoise,5.0,distorted,14,truck,0.7828675056611188,0.8413552132507278,866609,793870
GaussNoise,5.0,distorted,15,bus,0.6474157138242222,0.7307712772616871,638992,549228
GaussNoise,5.0,distorted,16,train,0.32743768090897307,0.5971353387012905,63463,90168
GaussNoise,5.0,distorted,17,motorcycle,0.31278431238167037,0.36670148444248035,199132,107348
GaussNoise,5.0,distorted,18,bicycle,0.5486671465399275,0.6790547572315275,1474965,1352099
GaussNoise,5.0,restored,0,road,0.9611392977171337,0.9793876479302729,83055684,82920620
GaussNoise,5.0,restored,1,sidewalk,0.7300449820992368,0.8082232060615777,13341609,12211709
GaussNoise,5.0,restored,2,building,0.867725377790063,0.9505159429057807,54242339,56733525
GaussNoise,5.0,restored,3,wall,0.3528150182056945,0.4694090841586714,1259181,1007190
GaussNoise,5.0,restored,4,fence,0.38465831034130743,0.578524448287804,2904866,3144576
GaussNoise,5.0,restored,5,pole,0.3037155958293673,0.4084970410073151,3268173,2462554
GaussNoise,5.0,restored,6,traffic light,0.36864467341449786,0.40690536874800237,488084,249261
GaussNoise,5.0,restored,7,traffic sign,0.5166806827162312,0.590763402735777,1656714,1216269
GaussNoise,5.0,restored,8,vegetation,0.8677969601657355,0.9415934138847701,37874102,38882775
GaussNoise,5.0,restored,9,terrain,0.506338009788559,0.590220885061454,1774905,1341627
GaussNoise,5.0,restored,10,sky,0.9187414880164911,0.9537172880497204,7910794,7845819
GaussNoise,5.0,restored,11,person,0.557324810468625,0.7170803522643571,3186357,3198234
GaussNoise,5.0,restored,12,rider,0.20706003229120798,0.2609507954125046,378420,197239
GaussNoise,5.0,restored,13,car,0.8746560276217162,0.9406635992469872,13170027,13382466
GaussNoise,5.0,restored,14,truck,0.7796293134723319,0.843117253571103,866609,801224
GaussNoise,5.0,restored,15,bus,0.6235909231248373,0.7238322232516213,638992,565240
GaussNoise,5.0,restored,16,train,0.24271478760779303,0.5987268172005735,63463,131084
GaussNoise,5.0,restored,17,motorcycle,0.32060293624197633,0.36945844967157465,199132,103916
GaussNoise,5.0,restored,18,bicycle,0.5446004579213249,0.6774669229439343,1474965,1359088
GaussNoise,10.0,distorted,0,road,0.9584151366086511,0.9791311573570329,83055684,83117646
GaussNoise,10.0,distorted,1,sidewalk,0.7176242645080192,0.797949707565257,13341609,12139292
GaussNoise,10.0,distorted,2,building,0.8609208867564655,0.953664129417428,54242339,57572263
GaussNoise,10.0,distorted,3,wall,0.3829690320011349,0.4780837703237263,1259181,914726
GaussNoise,10.0,distorted,4,fence,0.39154776629027216,0.5600468317643568,2904866,2876944
GaussNoise,10.0,distorted,5,pole,0.29790677694664097,0.4066825715774532,3268173,2522429
GaussNoise,10.0,distorted,6,traffic light,0.3431998391067445,0.3775968890600798,488084,233217
GaussNoise,10.0,distorted,7,traffic sign,0.4976573484953826,0.5595129877576939,1656714,1132872
GaussNoise,10.0,distorted,8,vegetation,0.8659274993167302,0.9341647757087416,37874102,38365227
GaussNoise,10.0,distorted,9,terrain,0.4754312050353274,0.5612041207839292,1774905,1316296
GaussNoise,10.0,distorted,10,sky,0.9183255331776535,0.9576335826719796,7910794,7914256
GaussNoise,10.0,distorted,11,person,0.5393679836329551,0.7118866467253984,3186357,3287492
GaussNoise,10.0,distorted,12,rider,0.1789108327569866,0.22148406532424292,378420,173862
GaussNoise,10.0,distorted,13,car,0.8662191688696859,0.934971507651427,13170027,13358913
GaussNoise,10.0,distorted,14,truck,0.7851958332258979,0.8433491920808577,866609,795037
GaussNoise,10.0,distorted,15,bus,0.6210929574775333,0.6515511931291784,638992,447672
GaussNoise,10.0,distorted,16,train,0.2117674445673049,0.5733734617020941,63463,144755
GaussNoise,10.0,distorted,17,motorcycle,0.2683588157037465,0.3454291625655344,199132,125975
GaussNoise,10.0,distorted,18,bicycle,0.5396809632347951,0.6631438712105033,1474965,1315542
GaussNoise,10.0,restored,0,road,0.9571638192286434,0.9786565480575659,83055684,83147971
GaussNoise,10.0,restored,1,sidewalk,0.7099091448243432,0.788461121893169,13341609,11995599
GaussNoise,10.0,restored,2,building,0.8616354800311861,0.9521354711492069,54242339,57343280
GaussNoise,10.0,restored,3,wall,0.34757932123422447,0.4401996218176735,1259181,889828
GaussNoise,10.0,restored,4,fence,0.38456926633745836,0.566615809472795,2904866,3021042
GaussNoise,10.0,restored,5,pole,0.29718963647369584,0.4022990826984985,3268173,2470664
GaussNoise,10.0,restored,6,traffic light,0.34206724467161376,0.37692897124265495,488084,233716
