sample_id,distortion,level_index,level,snr_db,orb_clean_keypoints,orb_distorted_keypoints,orb_keypoint_retention,orb_ratio_matches,orb_spatial_inliers,orb_match_retention,orb_inlier_ratio,canny_clean_edge_pixels,canny_distorted_edge_pixels,canny_edge_pixel_retention,canny_precision,canny_recall,canny_f1,seg_mean_iou,seg_classes_present,yolo_detection_objects,gt_detection_objects
frankfurt_000000_009688,GaussNoise,0,5.0,25.347896213290888,800.0,800.0,1.0,729.0,726.0,0.9075,0.9958847736625515,5785.0,5844.0,1.010198789974071,0.9613278576317591,0.9711322385479689,0.966205176713389,0.48349956847223635,11,76,9
frankfurt_000000_009969,GaussNoise,0,5.0,26.10239237380999,800.0,800.0,1.0,732.0,731.0,0.91375,0.9986338797814208,30594.0,30675.0,1.002647577956462,0.9791687041564792,0.9812708374191018,0.9802186437537351,0.5627115883538814,14,152,13
frankfurt_000000_011007,GaussNoise,0,5.0,26.02428972479995,800.0,800.0,1.0,694.0,692.0,0.865,0.9971181556195965,13522.0,13563.0,1.0030320958438101,0.9826734498267345,0.9877976630675935,0.9852288936848516,0.5298421845462017,14,79,7
frankfurt_000000_011074,GaussNoise,0,5.0,26.454960911024603,800.0,800.0,1.0,731.0,728.0,0.91,0.9958960328317373,12082.0,12038.0,0.9963582188379407,0.9835520850639641,0.980963416652872,0.9822560452968847,0.46001163474310713,14,110,7
frankfurt_000000_011461,GaussNoise,0,5.0,26.051241733300454,800.0,800.0,1.0,734.0,734.0,0.9175,1.0,32422.0,32482.0,1.0018505952748133,0.9830983313835355,0.9845783727098883,0.9838377954201271,0.5770056623464511,11,178,9
frankfurt_000000_012868,GaussNoise,0,5.0,26.883063649546514,800.0,800.0,1.0,740.0,739.0,0.92375,0.9986486486486487,40515.0,41518.0,1.0247562631124274,0.9575846620742811,0.980673824509441,0.9689917205038409,0.4623760529627246,14,238,20
frankfurt_000000_013067,GaussNoise,0,5.0,26.051413294033704,800.0,800.0,1.0,743.0,741.0,0.92625,0.9973082099596231,38824.0,38535.0,0.9925561508345353,0.9861684183210069,0.9773593653410262,0.9817441316282199,0.3468719014150191,15,172,11
frankfurt_000000_013240,GaussNoise,0,5.0,26.20957040902161,800.0,800.0,1.0,734.0,731.0,0.91375,0.9959128065395095,32101.0,32765.0,1.020684713871842,0.9643216847245536,0.9843618578860471,0.9742387251894069,0.5865505396557182,12,166,10
frankfurt_000000_013382,GaussNoise,0,5.0,26.543330750120084,800.0,800.0,1.0,734.0,727.0,0.90875,0.9904632152588556,22666.0,22588.0,0.9965587223153622,0.9778643527536746,0.9754698667607871,0.9766656421222729,0.48524615749520666,14,127,16
frankfurt_000000_015389,GaussNoise,0,5.0,26.21193637657774,800.0,800.0,1.0,741.0,738.0,0.9225,0.9959514170040485,25822.0,25330.0,0.9809464797459531,0.9718515594157126,0.9521725660289675,0.9619114239684922,0.4012647752593706,14,135,8
frankfurt_000000_016005,GaussNoise,0,5.0,25.655960657359334,800.0,800.0,1.0,725.0,719.0,0.89875,0.9917241379310345,17291.0,17524.0,1.0134752183216702,0.9718671536178954,0.982765600601469,0.9772859938710924,0.35287311179235226,15,89,15
frankfurt_000000_017228,GaussNoise,0,5.0,25.60032441500823,800.0,800.0,1.0,720.0,719.0,0.89875,0.9986111111111111,18513.0,18974.0,1.0249014206233458,0.9452408559080847,0.9701290984713444,0.9575232787626115,0.4696469728781407,14,112,14
