distortion,level_index,level,sample_count,mean_snr_db,orb_keypoint_retention,orb_match_retention,orb_inlier_ratio,canny_edge_pixel_retention,canny_precision,canny_recall,canny_f1,seg_mean_iou,seg_pixel_accuracy,det_map_50_95,det_map_50,det_precision_50,det_recall_50,det_mean_matched_iou_50
GaussNoise,0,5.0,125,25.238656503433706,1.0,0.9089400000000001,0.9964128480415859,1.0022884105943486,0.9678006498721978,0.9699247008811662,0.9683186031456724,0.5818804804245822,0.9219906366162401,0.18495691795993704,0.3200155061131835,0.0496268466583265,0.4743042991977367,0.7189139645154109
GaussNoise,1,10.0,125,19.286547828306666,1.00001,0.84434,0.9939311894489419,1.0259427079251056,0.933578516019295,0.9554781032223008,0.9440569342797865,0.5642378572479964,0.9185996419933302,0.16070566280978957,0.2644138762127804,0.0442537209693064,0.4509221452027803,0.7229415319752295
GaussNoise,2,20.0,125,13.410286555971492,1.0,0.72222,0.9879493376125137,1.0982758323004558,0.8631215244221397,0.930487247638038,0.8935580699759159,0.5470070798575563,0.911646406891184,0.12561461723643613,0.21552841330386058,0.042511929147250306,0.40251088754996195,0.7131816455413112
GaussNoise,3,35.0,125,8.893879383749889,1.0,0.5626700000000001,0.9755228367735295,1.2353897875353703,0.7697707726567184,0.9077689443878737,0.8295841317483682,0.4737431610765992,0.8906538260052881,0.06385337578658347,0.11457792956161542,0.034070730592776696,0.2527244735772661,0.6147226698833507
GaussNoise,4,50.0,125,6.195878545372673,1.0,0.42839,0.9563939495747735,1.4357431165281995,0.6849405506402952,0.8969391187987975,0.7715184428647536,0.42010335716547326,0.8670968996710914,0.029726973098698845,0.054064649569677825,0.04081231436085558,0.14550949539826102,0.6122810178052257
SevereJPEG,0,80.0,125,31.325761684569365,1.0,0.9036599999999999,0.9967350131330429,0.9928254253636821,0.9796472750583374,0.973627985375899,0.976364751848151,0.5756477630479071,0.9207731278413499,0.17430258739895801,0.28765585345280187,0.050232683846925134,0.4696599810725485,0.7232072532686881
SevereJPEG,1,60.0,125,29.599658639517774,1.0,0.8738900000000001,0.9957900578671077,0.9942393096776928,0.9700765926216861,0.9661384566085698,0.9680009469106637,0.5752752083196073,0.9193716972758939,0.17680955607619822,0.29041751905905944,0.05133771778799754,0.48181506621382825,0.720154100847823
SevereJPEG,2,40.0,125,28.369669776791945,1.0,0.84521,0.9946905107004088,0.9886078946983778,0.9595611461211913,0.9512317253603835,0.9548584542093858,0.567926171761986,0.9168138149294984,0.17607642442469412,0.3061981423446437,0.047311651721634186,0.45905053055307354,0.722561671676412
SevereJPEG,3,20.0,125,25.723066916700166,1.0,0.77983,0.9903471148299835,0.9857570058576447,0.9352879608530823,0.9258274146769039,0.9298964113839788,0.5223994363708113,0.900367306160158,0.1631386988798448,0.27141567566771213,0.04353176627948007,0.46246100725535777,0.7126983696590509
SevereJPEG,4,5.0,125,18.50468299320412,1.0,0.4447999999999999,0.9601305676351878,1.0164196502336182,0.8320414185392521,0.8409041112771807,0.8350520281494204,0.3201545331110317,0.7914506825632747,0.10690794370690307,0.17307339909103583,0.029069949097786537,0.3747166992717353,0.7240887603165395
LowLight,0,0.8,125,13.822912186791497,1.0,0.9595899999999999,0.9981156028331587,0.557307772238121,0.9983827939948162,0.5776415359040472,0.7210152494483981,0.5825540154940102,0.9213235320978365,0.17292573671173495,0.2824536372133374,0.0522232493169308,0.47754838234728864,0.7174972714495479
LowLight,1,0.6,125,7.880950660435266,0.99873,0.94396,0.99761779204978,0.1643319824551056,0.9758451864722227,0.17354707432651173,0.2823552429850517,0.5792701030146162,0.9205653031114005,0.17249035802851473,0.2772155803347441,0.05193753681468984,0.4702786866738041,0.7223031302518
LowLight,2,0.4,125,4.3847848960593305,0.94516,0.8563800000000001,0.9920045952033564,0.0034586997447451475,0.504,0.003870140604714929,0.007609760631802313,0.5756033287872377,0.9198116097121032,0.16753907684914826,0.2652619171302882,0.05440088971797268,0.4543611729446876,0.7374566095695497
LowLight,3,0.25,125,2.455643534435188,0.5532100000000001,0.4828299999999999,0.947781215135526,0.0,0.0,0.0,0.0,0.5632675363171656,0.9173834679894857,0.149253071880552,0.24346632047822273,0.058813028853682454,0.4188858963556926,0.7333983311706719
LowLight,4,0.1,125,0.8736820382822406,2e-05,1e-05,0.008,0.0,0.0,0.0,0.0,0.506874767725492,0.8999699175975583,0.09533335849945297,0.17135249322854057,0.04842264799656234,0.31825823681423326,0.6992609833536563
MotionBlur,0,3.0,125,33.44332108472217,1.0,0.8480599999999999,0.9943105402080364,0.839433105859658,0.9848475116900205,0.8430991291943989,0.9066286358458427,0.5806074406641958,0.9208866580220337,0.17160822280673088,0.28483788642704627,0.049269539473977685,0.4721291656241862,0.7184996451807864
MotionBlur,1,5.0,125,27.497189104952337,0.9989600000000001,0.6547800000000001,0.978052649922096,0.5544603465391976,0.9818583937251196,0.5648682345963817,0.7093393459348147,0.5762221213603285,0.9182628318390104,0.17001536456066418,0.2744138773630416,0.046340325648392855,0.45046646467131024,0.7153245546133464
MotionBlur,2,9.0,125,24.09807720919974,0.9858599999999998,0.40765999999999997,0.932659319312734,0.33334952435891424,0.9720170131207355,0.33636002738027304,0.4892465249815595,0.5665408740161805,0.9153195299624838,0.15213980972737645,0.2483617633482491,0.04425560400682486,0.4375719864567483,0.7216018841840676
MotionBlur,3,15.0,125,20.894327449793806,0.9014500000000001,0.14374,0.7333008816559591,0.14497995564401017,0.92971808301328,0.1433722473644481,0.24112577944343758,0.5435562035374722,0.907780672845439,0.12915858175358302,0.2293822591424781,0.03945573641357032,0.41669939361350733,0.706436438915593
MotionBlur,4,25.0,125,18.42366432121928,0.59122,0.026930000000000003,0.3902344606834871,0.05992299627219188,0.8764987416249076,0.0584054563255091,0.10651143758705803,0.48764207152360434,0.890010795663343,0.0870040099950709,0.16163911880992973,0.0334327321786567,0.3552311618771989,0.6960491224325025
