distortion,level,class_id,class_name,iou,class_accuracy,gt_pixels,pred_pixels
GaussNoise,5.0,0,road,0.9619691062602101,0.9795421466879979,83055684,82873786
GaussNoise,5.0,1,sidewalk,0.7382326693191544,0.8186208275178803,13341609,12374523
GaussNoise,5.0,2,building,0.8674886070725549,0.9528696024704982,54242339,57024580
GaussNoise,5.0,3,wall,0.3613883293473556,0.4747403272444549,1259181,992735
GaussNoise,5.0,4,fence,0.3845469031380703,0.5668388834459146,2904866,3023624
GaussNoise,5.0,5,pole,0.30502331585353265,0.41139988611374,3268173,2484298
GaussNoise,5.0,6,traffic light,0.3700519743754242,0.40771875332934493,488084,248682
GaussNoise,5.0,7,traffic sign,0.515630409946201,0.5878896417848826,1656714,1206133
GaussNoise,5.0,8,vegetation,0.8689110149280203,0.9396407867307323,37874102,38671021
GaussNoise,5.0,9,terrain,0.5088925194402519,0.5944030807282643,1774905,1353251
GaussNoise,5.0,10,sky,0.9195441329735943,0.9547141538510546,7910794,7855113
GaussNoise,5.0,11,person,0.5566660912161331,0.7174924215961991,3186357,3206757
GaussNoise,5.0,12,rider,0.2036856071774567,0.25557317266529256,378420,193114
GaussNoise,5.0,13,car,0.8745260877031924,0.9395837229490873,13170027,13354086
GaussNoise,5.0,14,truck,0.7828675056611188,0.8413552132507278,866609,793870
GaussNoise,5.0,15,bus,0.6474157138242222,0.7307712772616871,638992,549228
GaussNoise,5.0,16,train,0.32743768090897307,0.5971353387012905,63463,90168
GaussNoise,5.0,17,motorcycle,0.31278431238167037,0.36670148444248035,199132,107348
GaussNoise,5.0,18,bicycle,0.5486671465399275,0.6790547572315275,1474965,1352099
GaussNoise,10.0,0,road,0.9584151366086511,0.9791311573570329,83055684,83117646
GaussNoise,10.0,1,sidewalk,0.7176242645080192,0.797949707565257,13341609,12139292
GaussNoise,10.0,2,building,0.8609208867564655,0.953664129417428,54242339,57572263
GaussNoise,10.0,3,wall,0.3829690320011349,0.4780837703237263,1259181,914726
GaussNoise,10.0,4,fence,0.39154776629027216,0.5600468317643568,2904866,2876944
GaussNoise,10.0,5,pole,0.29790677694664097,0.4066825715774532,3268173,2522429
GaussNoise,10.0,6,traffic light,0.3431998391067445,0.3775968890600798,488084,233217
GaussNoise,10.0,7,traffic sign,0.4976573484953826,0.5595129877576939,1656714,1132872
GaussNoise,10.0,8,vegetation,0.8659274993167302,0.9341647757087416,37874102,38365227
GaussNoise,10.0,9,terrain,0.4754312050353274,0.5612041207839292,1774905,1316296
GaussNoise,10.0,10,sky,0.9183255331776535,0.9576335826719796,7910794,7914256
GaussNoise,10.0,11,person,0.5393679836329551,0.7118866467253984,3186357,3287492
GaussNoise,10.0,12,rider,0.1789108327569866,0.22148406532424292,378420,173862
GaussNoise,10.0,13,car,0.8662191688696859,0.934971507651427,13170027,13358913
