distortion,level_index,level,v4_minus_v3_psnr_gain_db,v4_minus_v3_ssim_gain,v4_minus_v3_mae_reduction,v4_minus_v3_orb_gain,v4_minus_v3_canny_gain,v4_minus_v3_seg_gain,v4_minus_v3_det_gain
GaussNoise,0,5.0,-0.27954710523664517,-0.00536475801467895,-0.11227758026123036,0.00044999999999995044,-0.00012508635507135768,0.002694150129589623,0.0006003721160513509
GaussNoise,1,10.0,-0.4331420922524387,-0.020715958118438738,-0.37062139892578116,0.0022299999999999542,0.0007479194150260549,0.003116329834229159,-0.0014091733775752069
GaussNoise,2,20.0,-0.6454757720542617,-0.049454262971877994,-1.0890983734130852,0.0047599999999998754,-0.0006662997425431749,0.006284307475948658,-0.004307757453147237
GaussNoise,3,35.0,-0.9911198564584893,-0.10736984288692475,-2.7554574813842763,0.023540000000000005,0.015567817517191829,0.013426443019216139,-0.006438697776167748
GaussNoise,4,50.0,-1.9751053764050042,-0.22013139188289643,-5.163953895568849,0.04747000000000012,0.04678515847877085,0.0248698007562419,-0.0005550533528201826
LowLight,0,0.8,0.0,0.0,0.0,0.0,0.0,0.0,7.470121537556107e-05
LowLight,1,0.6,0.0,0.0,0.0,0.0,0.0,0.0,-0.0014524233702521427
LowLight,2,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.00031601415445214887
LowLight,3,0.25,0.0,0.0,0.0,0.0,0.0,0.0,-3.073459118888011e-05
LowLight,4,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0007621840379949812
MotionBlur,0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,8.622673876362841e-05
MotionBlur,1,5.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004782312775696018
MotionBlur,2,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0001258838240949245
MotionBlur,3,15.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.000568728978320443
MotionBlur,4,25.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006495392303915715
SevereJPEG,0,80.0,0.0029686692867869624,-3.771781921457773e-06,0.0007771348953247159,0.000300000000000078,4.249086131724589e-06,2.6320968096626984e-05,-4.0155307508560334e-05
SevereJPEG,1,60.0,-0.005485637308396463,-5.2114963531413316e-05,-0.0006299791336057403,-4.0000000000040004e-05,-0.00015575932775768742,5.277137849823976e-05,0.0007724937163238743
SevereJPEG,2,40.0,-0.020349890170763274,-0.0002798604965209561,-0.004288713455200099,0.0011100000000000554,0.0017264175673437077,-0.0003684074637121393,0.0001971497185263571
SevereJPEG,3,20.0,-0.015011066291648945,-0.0014055590629576953,-0.010196607589721296,0.006189999999999807,0.014853281553023123,2.2354810286118187e-05,0.0017473006412459524
SevereJPEG,4,5.0,-0.09920166408886999,-0.007972374439239482,-0.09066809844970702,0.005039999999999989,0.031012578784650024,-0.003763578612540175,-0.0006035638062077825
