distortion,level_index,level,sample_count,restoration_recipe_version,restoration_method,restoration_parameters,mean_restoration_runtime_ms,distorted_mean_snr_db,restored_mean_snr_db,snr_gain_db,distorted_mean_psnr_db,restored_mean_psnr_db,psnr_gain_db,distorted_mean_ssim,restored_mean_ssim,ssim_gain,distorted_mean_mae,restored_mean_mae,mae_reduction,orb_distorted,orb_restored,orb_gain,canny_distorted,canny_restored,canny_gain,seg_distorted,seg_restored,seg_gain,det_distorted,det_restored,det_gain
GaussNoise,0,5.0,125,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.3, ""h_color"": 2.0, ""h_luminance"": 2.3000000000000003, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2703.399041599972,25.238656503433706,25.980064276711733,0.7414077732780271,34.1348828446336,34.876290657678084,0.7414078130444821,0.8870846529006958,0.9026071429252625,0.015522490024566626,3.9663927135467527,3.618272773742676,0.34811993980407685,0.9089400000000001,0.9067599999999999,-0.002180000000000182,0.9683186031456724,0.9683746449951325,5.604184946006452e-05,0.5818804804245822,0.5778772914366491,-0.0040031889879330596,0.18518027051100752,0.18397976540045216,-0.001200505110555361
GaussNoise,1,10.0,125,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.37222222222222223, ""h_color"": 4.0, ""h_luminance"": 4.6000000000000005, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2699.693661599798,19.286547828306666,20.344020612092727,1.0574727837860607,28.182774144178932,29.24024693351154,1.057472789332607,0.6824875440597534,0.7309730672836303,0.04848552322387689,7.8930722427368165,6.96176762008667,0.9313046226501465,0.84434,0.8435699999999999,-0.0007700000000000484,0.9440569342797865,0.9469633125844348,0.0029063783046482383,0.5642378572479964,0.5605827664140542,-0.0036550908339421095,0.16099936051729327,0.16486691093514957,0.0038675504178563025
GaussNoise,2,20.0,125,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 0.0, ""blend"": 0.5166666666666666, ""h_color"": 8.0, ""h_luminance"": 9.200000000000001, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2699.157953599817,13.410286555971492,14.978757019352592,1.5684704633811002,22.306512859612386,23.87498337493549,1.5684705153231029,0.3914855482578278,0.4788258724212647,0.0873403241634369,15.58285513305664,12.91043854522705,2.6724165878295896,0.72222,0.71953,-0.00268999999999997,0.8935580699759159,0.8983094515691088,0.004751381593192883,0.5470070798575563,0.5407086660057242,-0.006298413851832052,0.12589260010816636,0.1277015655216762,0.0018089654135098332
GaussNoise,3,35.0,125,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 18.5, ""blend"": 0.7333333333333334, ""h_color"": 14.0, ""h_luminance"": 16.1, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2710.244822399837,8.893879383749889,11.498922046423006,2.6050426626731173,17.79010568378081,20.395148376897858,2.605042693117049,0.20904750788211823,0.3293972715139389,0.12034976363182065,26.33589256286621,19.166890075683593,7.169002487182617,0.5626700000000001,0.5367099999999999,-0.025960000000000205,0.8295841317483682,0.8292834112766339,-0.00030072047173435035,0.4737431610765992,0.4791941550681739,0.005450993991574726,0.0642780103847251,0.08408409295527104,0.019806082570545946
GaussNoise,4,50.0,125,4,severity-aware non-local means with edge-preserving residual cleanup,"{""bilateral_sigma"": 23.0, ""blend"": 0.95, ""h_color"": 20.0, ""h_luminance"": 23.0, ""output_strength"": 0.7, ""search_window"": 21, ""template_window"": 7}",2712.1932832001476,6.195878545372673,11.05240455938878,4.856526014016107,15.092104882993779,19.94863088813044,4.856526005136663,0.13364149117469787,0.3045999413728714,0.17095845019817352,35.98613645935058,20.10831692504883,15.877819534301754,0.42839,0.3759200000000001,-0.052469999999999906,0.7715184428647536,0.742934793745525,-0.028583649119228616,0.42010335716547326,0.43152129814624607,0.011417940980772812,0.029802043712542328,0.07121656122929389,0.041414517516751556
SevereJPEG,0,80.0,125,4,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.15, ""boundary_radius"": 1, ""diameter"": 5, ""global_blend"": 0.01, ""output_strength"": 0.7, ""sigma_color"": 8.0, ""sigma_space"": 4.0}",38.795379200193565,31.325761684569365,31.32123821646482,-0.004523468104544293,40.221988031611936,40.21746456524961,-0.004523466362329032,0.9825767736434936,0.9837735381126403,0.0011967644691467383,1.6261764612197875,1.643010708808899,-0.01683424758911145,0.9036599999999999,0.90137,-0.0022899999999999032,0.976364751848151,0.9768130650559754,0.0004483132078244578,0.5756477630479071,0.5760187648743971,0.0003710018264899695,0.17448873040746368,0.17528642100324987,0.000797690595786188
SevereJPEG,1,60.0,125,4,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.1532869135802469, ""boundary_radius"": 2, ""diameter"": 7, ""global_blend"": 0.010021575637860082, ""output_strength"": 0.7, ""sigma_color"": 17.6, ""sigma_space"": 7.2}",54.065112799726194,29.599658639517774,29.718642595570323,0.11898395605254919,38.49588496505474,38.614868924322685,0.11898395926794336,0.9725834684371948,0.974429594039917,0.0018461256027222372,2.0347234048843386,2.005619606018066,0.029103798866272346,0.8738900000000001,0.87125,-0.0026400000000000867,0.9680009469106637,0.9660658236861317,-0.0019351232245320427,0.5752752083196073,0.5739654972326376,-0.001309711086969756,0.17583447306350558,0.17735467783770592,0.00152020477420034
SevereJPEG,2,40.0,125,4,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.2025906172839506, ""boundary_radius"": 2, ""diameter"": 7, ""global_blend"": 0.011380840823045267, ""output_strength"": 0.7, ""sigma_color"": 27.2, ""sigma_space"": 10.4}",53.92353120003827,28.369669776791945,28.54845695031049,0.1787871735185469,37.265896093965495,37.444683295103474,0.17878720113797897,0.9620274972915649,0.9651833639144898,0.0031558666229248855,2.3813703956604004,2.324565573692322,0.05680482196807857,0.84521,0.84508,-0.00012999999999996348,0.9548584542093858,0.953928482999681,-0.0009299712097047275,0.567926171761986,0.5710050784378206,0.0030789066758345474,0.17669154748468768,0.17682678748664296,0.00013524000195527797
SevereJPEG,3,20.0,125,4,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.41624000000000005, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.025728640000000004, ""output_strength"": 0.7, ""sigma_color"": 36.8, ""sigma_space"": 13.600000000000001}",69.44687039995915,25.723066916700166,26.03805505095301,0.3149881342528431,34.61929324759026,34.93428135521355,0.314988107623293,0.936721095085144,0.9449840974807739,0.008263002395629937,3.415797668457031,3.2932281589508055,0.12256950950622558,0.77983,0.7764099999999999,-0.0034200000000000896,0.9298964113839788,0.9136148512373748,-0.01628156014660398,0.5223994363708113,0.5201453068932033,-0.002254129477608058,0.16274086416009143,0.16316392469361288,0.0004230605335214521
SevereJPEG,4,5.0,125,4,8x8 boundary-aware luminance deblocking,"{""block_size"": 8, ""boundary_blend"": 0.8, ""boundary_radius"": 3, ""diameter"": 9, ""global_blend"": 0.06999999999999999, ""output_strength"": 0.7, ""sigma_color"": 44.0, ""sigma_space"": 16.0}",69.46322080004029,18.50468299320412,19.03468247206201,0.5299994788578886,27.400909299889108,27.930908811905862,0.5299995120167544,0.834740553855896,0.8671850304603577,0.0324444766044617,8.484515781402587,8.034882308959961,0.44963347244262586,0.4447999999999999,0.4501,0.005300000000000082,0.8350520281494204,0.812768546547641,-0.022283481601779398,0.3201545331110317,0.3351479383750133,0.014993405263981574,0.10704042106237563,0.11139387066938952,0.004353449607013893
