distortion,output_strength,recommended,psnr_gain_db,ssim_gain,mae_reduction,orb_gain,canny_gain,positive_psnr_gain_db_conditions,positive_ssim_gain_conditions,positive_mae_reduction_conditions,positive_orb_gain_conditions,positive_canny_gain_conditions,fidelity_rank,structure_rank,balanced_rank_score
GaussNoise,0.7,True,2.1026887039340445,0.08808718382120133,5.190802285003662,-0.018526,-0.0035138748784278944,5,5,5,0,3,0.0,1.0,0.5
GaussNoise,0.85,False,2.5761523414810252,0.12541783627271652,6.1980977394104,-0.02663,-0.009023854410352713,5,5,5,0,2,0.5,0.5,0.5
GaussNoise,1.0,False,2.9344877970430754,0.16776955460309984,7.010141100311279,-0.035132,-0.01449341792701909,5,5,5,0,1,1.0,0.0,0.5
SevereJPEG,0.7,True,0.22235829042490482,0.00919593687057495,0.12174259433746337,-0.0018060000000000016,-0.00813851575342284,4,5,4,1,1,0.0,1.0,0.5
SevereJPEG,0.85,False,0.24354735269433073,0.01046335334777832,0.13581138038635254,-0.0025899999999999977,-0.012878911873482652,4,5,4,1,1,0.5,0.5,0.5
SevereJPEG,1.0,False,0.2493684206439694,0.011121025466918946,0.14226755657196044,-0.003474000000000001,-0.016803203365817764,4,5,4,1,1,1.0,0.0,0.5
LowLight,0.7,False,3.698728649439007,0.29150891902446746,20.06882629699707,-0.078158,0.13513260205250027,5,5,5,1,5,0.0,0.5,0.25
LowLight,0.85,False,4.617319888507474,0.31949960334301,24.020947437286377,-0.11661399999999998,0.21306339320827983,5,5,5,1,5,0.5,0.5,0.5
LowLight,1.0,True,5.551438907957274,0.3372105060338974,27.364412448883055,-0.1506,0.2991608822509027,5,5,5,1,5,1.0,0.5,0.75
MotionBlur,0.7,False,1.729838653723141,0.01664922790527344,0.4228446328163147,0.10582799999999999,0.08416136683669817,5,5,5,5,5,0.0,0.0,0.0
MotionBlur,0.85,False,2.0861343711600506,0.019091905212402345,0.4891994119644165,0.126636,0.10710946567389265,5,5,5,5,5,0.5,0.5,0.5
MotionBlur,1.0,True,2.338255849646425,0.02049945640563965,0.5332665360927582,0.146166,0.12973667233048414,5,5,5,5,5,1.0,1.0,1.0
