distortion,severity_index,level,sample_count,mean_snr_db,pretrained_map_50_95,robust_mean_map_50_95,robust_std_map_50_95,mean_gain,condition_elapsed_seconds
Clean,0,,500,,0.1599692759531892,0.25807085557513104,0.009126226226452238,0.09810157962194185,73.04504760000054
GaussNoise,1,5.0,500,25.178301720729184,0.1594532313688061,0.25423327474282503,0.006637487602406608,0.09478004337401894,141.91203649999807
GaussNoise,2,10.0,500,19.225849241882525,0.1501193171043233,0.23826532698821268,0.0072366605703873535,0.08814600988388938,142.70007859999896
GaussNoise,3,20.0,500,13.353152567924568,0.10517309396043065,0.21865073590499473,0.005800940075774576,0.11347764194456408,148.84208650000073
GaussNoise,4,35.0,500,8.844088030593673,0.06126053206104459,0.18906457224544648,0.011021716889130841,0.1278040401844019,149.1715955999971
GaussNoise,5,50.0,500,6.148252686035837,0.030282577056456962,0.16119576606465058,0.008373744947752204,0.13091318900819363,148.2808796999998
SevereJPEG,1,80.0,500,31.228169114230294,0.15978511656457633,0.25908884538214566,0.0053558766349127785,0.09930372881756933,107.82297729999846
SevereJPEG,2,60.0,500,29.496353581094013,0.15980669230056938,0.255671430532119,0.0054712376459920735,0.09586473823154962,106.98601280000003
SevereJPEG,3,40.0,500,28.27112274851284,0.15685220118516585,0.25119788635572954,0.007384253960405622,0.09434568517056369,107.47204649999912
SevereJPEG,4,20.0,500,25.638175414394034,0.14926766879615677,0.24424935538569448,0.0069101170731231286,0.0949816865895377,108.38219349999781
SevereJPEG,5,5.0,500,18.476975529710028,0.10171144947850205,0.19684067550651765,0.002404041573193424,0.0951292260280156,113.9047114999994
LowLight,1,0.8,500,13.821119120944102,0.16093518618052682,0.25807075638984267,0.006583581181756299,0.09713557020931585,109.42265510000288
LowLight,2,0.6,500,7.880081533715582,0.15846259823481113,0.2583750905424345,0.00640960332868305,0.09991249230762339,107.47557729999971
LowLight,3,0.4,500,4.384208244799512,0.16092470834076053,0.25662506669340396,0.006855317579457812,0.09570035835264343,107.6731065999993
LowLight,4,0.25,500,2.455510182177344,0.14850117262335152,0.2483470470446136,0.00518151518129114,0.09984587442126208,107.93791989999954
LowLight,5,0.1,500,0.873418402807999,0.09618023911088781,0.22138912742598102,0.01045514091791109,0.1252088883150932,109.12622370000099
MotionBlur,1,3.0,500,33.23259105302922,0.1575579870923268,0.2588056000537306,0.0072333827608766065,0.1012476129614038,101.31737710000016
MotionBlur,2,5.0,500,27.291643051429546,0.15608852739576579,0.2562102857348127,0.00490290328773039,0.1001217583390469,101.38868759999968
MotionBlur,3,9.0,500,23.900952196033852,0.1441455332661282,0.2448743238732107,0.006772542762969055,0.10072879060708251,102.4088069999998
MotionBlur,4,15.0,500,20.707219993491314,0.12150753394508643,0.22502277920838124,0.01001194464980619,0.10351524526329481,131.0444940999987
MotionBlur,5,25.0,500,18.250329146935705,0.08571629018904826,0.19662831766799424,0.007553061866928058,0.11091202747894598,132.7026662999997
