model,distortion,severity_index,level,sample_count,mean_snr_db,map_50_95,map_50,mean_precision_50,mean_recall_50,mean_matched_iou_50,operating_confidence,mean_precision_50_at_operating_confidence,mean_recall_50_at_operating_confidence,mean_f1_50_at_operating_confidence,ground_truth_objects,predicted_objects,evaluated_classes,operating_predicted_objects
pretrained,Clean,0,,500,,0.1599692759531892,0.2647073752729687,0.05157254070908488,0.4623416814479913,0.7265303743429703,0.25,0.5436154460277133,0.2535683460924283,0.31981756251433324,9576.0,71953.0,7.0,4498.0
robust_seed_7,Clean,0,,500,,0.25454621023787366,0.42118180660089155,0.06165639455849054,0.5989915357144859,0.7574582336442249,0.25,0.6210832340240534,0.37652459109814135,0.4634308020215582,9576.0,89877.0,7.0,6743.0
robust_seed_17,Clean,0,,500,,0.268433798080219,0.44521484625927105,0.06130763777350422,0.6227484714379886,0.7504654326504772,0.25,0.6279810808948196,0.40318983678452897,0.4870153496096708,9576.0,89597.0,7.0,6909.0
robust_seed_29,Clean,0,,500,,0.2512325584073004,0.41085358996453575,0.05972942558519122,0.6081260097661725,0.7562931239990992,0.25,0.5873724223512358,0.39952057269311736,0.47141800064077927,9576.0,85859.0,7.0,6987.0
pretrained,GaussNoise,1,5.0,500,25.178301720729184,0.1594532313688061,0.2670430978801274,0.050982258825797454,0.45963808829961045,0.7287037171053681,0.25,0.5764145657364075,0.24144370969105916,0.3113055129921083,9576.0,72943.0,7.0,4382.0
robust_seed_7,GaussNoise,1,5.0,500,25.178301720729184,0.2504707734812107,0.4139529032385511,0.06121303850361877,0.6014493710565273,0.7510202008684297,0.25,0.629633999298907,0.3700148280121864,0.4598879068317046,9576.0,91007.0,7.0,6510.0
robust_seed_17,GaussNoise,1,5.0,500,25.178301720729184,0.2618971657622751,0.43078199868343464,0.05988338575602658,0.6044264212894096,0.7529562088101435,0.25,0.6245166781706973,0.38903048616911157,0.4752388270857158,9576.0,91201.0,7.0,6699.0
robust_seed_29,GaussNoise,1,5.0,500,25.178301720729184,0.25033188498498926,0.4160701785399769,0.05973033518877371,0.6147470499235779,0.7557297266327395,0.25,0.6046606497347005,0.38571291368779015,0.46527391915419714,9576.0,86965.0,7.0,6717.0
pretrained,GaussNoise,2,10.0,500,19.225849241882525,0.1501193171043233,0.2461195585035436,0.04902661656816779,0.4464063172493774,0.7411369629302008,0.25,0.5598825396701939,0.22768293209678941,0.2971292086665949,9576.0,76170.0,7.0,4147.0
robust_seed_7,GaussNoise,2,10.0,500,19.225849241882525,0.23012059839053767,0.3833042791282885,0.059105797995489824,0.579846970244989,0.7494175549163071,0.25,0.5985714365228573,0.3336321950472341,0.4206998774398495,9576.0,93914.0,7.0,6186.0
robust_seed_17,GaussNoise,2,10.0,500,19.225849241882525,0.24395534491612544,0.40187618273311226,0.057872300984275406,0.5948745807259888,0.7424711676059544,0.25,0.6197524143732879,0.3623302131477814,0.4508230347039833,9576.0,95000.0,7.0,6404.0
robust_seed_29,GaussNoise,2,10.0,500,19.225849241882525,0.24072003765797484,0.4039632406506884,0.057682696663595726,0.6153152718053688,0.748127594341188,0.25,0.6103367154185529,0.3712597953168073,0.45460787123959207,9576.0,90025.0,7.0,6473.0
pretrained,GaussNoise,3,20.0,500,13.353152567924568,0.10517309396043065,0.18186213115508867,0.041643443768948026,0.37463702234885543,0.7225143964131957,0.25,0.5399285054515162,0.1617218390746395,0.22028855832792135,9576.0,83932.0,7.0,3284.0
robust_seed_7,GaussNoise,3,20.0,500,13.353152567924568,0.21347079074631173,0.34996434542486793,0.05292909964112715,0.5553021802204128,0.7453438848800925,0.25,0.6107767139165,0.3071705870576243,0.3981210985078765,9576.0,102711.0,7.0,5701.0
robust_seed_17,GaussNoise,3,20.0,500,13.353152567924568,0.22491861983148762,0.36934469696258204,0.049747223243498805,0.5343803464831655,0.7503972251039543,0.25,0.6152472462413527,0.33961592894598436,0.42999769104056623,9576.0,103705.0,7.0,6082.0
robust_seed_29,GaussNoise,3,20.0,500,13.353152567924568,0.21756279713718482,0.36482089013346153,0.05092239757307598,0.5714772563149403,0.7408281855352333,0.25,0.6185789285944133,0.3394313992208546,0.42818274128016565,9576.0,98072.0,7.0,5948.0
pretrained,GaussNoise,4,35.0,500,8.844088030593673,0.06126053206104459,0.11097089536801884,0.035634173967965165,0.27636376581602196,0.7028895641676057,0.25,0.646875451658822,0.08239418732480268,0.12526270737520584,9576.0,76731.0,7.0,1721.0
robust_seed_7,GaussNoise,4,35.0,500,8.844088030593673,0.17663588003340439,0.2952167078124989,0.04508641845103469,0.5109129699950102,0.730065661577601,0.25,0.5796418397646848,0.26526989088055986,0.3504577442073796,9576.0,117577.0,7.0,5160.0
robust_seed_17,GaussNoise,4,35.0,500,8.844088030593673,0.19290743134794103,0.31648922392174833,0.04386038620866307,0.5068365134309859,0.7363042673337203,0.25,0.5558305154770725,0.2886439315050002,0.3689117256247794,9576.0,118053.0,7.0,5719.0
robust_seed_29,GaussNoise,4,35.0,500,8.844088030593673,0.19765040535499404,0.3392445112014517,0.041376328772925124,0.5153872884792244,0.7343814813576461,0.25,0.5732509757817842,0.3209276944759064,0.39778770367039024,9576.0,112808.0,7.0,5528.0
pretrained,GaussNoise,5,50.0,500,6.148252686035837,0.030282577056456962,0.055998978756691284,0.03869065105947446,0.15062534595452415,0.6935336512410942,0.25,0.534998583921833,0.03500512218643324,0.057626907355763965,9576.0,47387.0,7.0,676.0
robust_seed_7,GaussNoise,5,50.0,500,6.148252686035837,0.15309355262615035,0.2554681852988546,0.03848596484587029,0.46350765742014044,0.7165403468377598,0.25,0.5538857075274923,0.23271263140474052,0.3079524740109358,9576.0,131061.0,7.0,4792.0
robust_seed_17,GaussNoise,5,50.0,500,6.148252686035837,0.16067683914094516,0.2681835585841919,0.037744366422110806,0.45848464842290365,0.7191484164713531,0.25,0.5453677966266941,0.24978439958209106,0.3263570334577895,9576.0,129499.0,7.0,5369.0
robust_seed_29,GaussNoise,5,50.0,500,6.148252686035837,0.1698169064268562,0.28498669853735487,0.03628532103376647,0.48545951212363647,0.7312582253376315,0.25,0.5322203686096062,0.2680055752807745,0.34204929448940957,9576.0,124476.0,7.0,5140.0
pretrained,SevereJPEG,1,80.0,500,31.228169114230294,0.15978511656457633,0.26414148740280247,0.0519185842176675,0.46250379901913485,0.731877266645858,0.25,0.5401880520651536,0.2497571238397716,0.31598681309324844,9576.0,71819.0,7.0,4486.0
robust_seed_7,SevereJPEG,1,80.0,500,31.228169114230294,0.256367697829925,0.42421760144573334,0.06280087311170587,0.609698517838234,0.7529136150803403,0.25,0.6211813935759329,0.3834629999171314,0.46863466106158685,9576.0,90221.0,7.0,6745.0
robust_seed_17,SevereJPEG,1,80.0,500,31.228169114230294,0.2652589858256063,0.44379828346187367,0.06121886612837988,0.6265084219161238,0.7487028227720355,0.25,0.6334809476925928,0.4072821590371421,0.491480152388815,9576.0,89641.0,7.0,6879.0
robust_seed_29,SevereJPEG,1,80.0,500,31.228169114230294,0.25563985249090565,0.42837977629544705,0.06032024353384215,0.6158173361818188,0.7502741275189966,0.25,0.6020337484379716,0.40030536249297594,0.47559649989644964,9576.0,86061.0,7.0,6934.0
pretrained,SevereJPEG,2,60.0,500,29.496353581094013,0.15980669230056938,0.2606181356164667,0.05079994153212518,0.4598922315556075,0.7443209207664755,0.25,0.5530824244541089,0.25118195289001044,0.31830479101545,9576.0,72140.0,7.0,4447.0
robust_seed_7,SevereJPEG,2,60.0,500,29.496353581094013,0.253332107517874,0.4173815035690173,0.060285579626806404,0.5945169164464569,0.7529107350588095,0.25,0.6157012300053158,0.3740014263052216,0.4599833757919622,9576.0,90880.0,7.0,6634.0
robust_seed_17,SevereJPEG,2,60.0,500,29.496353581094013,0.2619234258786492,0.43176087353569187,0.06034590119639886,0.6136296269388076,0.7511028289338013,0.25,0.6246624927378005,0.4003428209096992,0.48438362048511013,9576.0,90508.0,7.0,6799.0
robust_seed_29,SevereJPEG,2,60.0,500,29.496353581094013,0.2517587581998338,0.4232229434584211,0.060335136614968345,0.6191443144933982,0.7470665999152283,0.25,0.6010557695835258,0.40398270229048316,0.4782758301972817,9576.0,86854.0,7.0,6807.0
pretrained,SevereJPEG,3,40.0,500,28.27112274851284,0.15685220118516585,0.2597082156229228,0.05033988294240556,0.4559380093752397,0.7278987329553536,0.25,0.548606903501485,0.2443297055060782,0.31078957001549984,9576.0,72686.0,7.0,4389.0
robust_seed_7,SevereJPEG,3,40.0,500,28.27112274851284,0.24887643214943142,0.4085027256684077,0.061471669972305736,0.5978383323927877,0.7556347743450956,0.25,0.618577456526606,0.3566738876112966,0.4471873925520754,9576.0,90989.0,7.0,6578.0
robust_seed_17,SevereJPEG,3,40.0,500,28.27112274851284,0.2594639174163326,0.4312133671215473,0.05991040557570544,0.6061150133191956,0.7543940444525594,0.25,0.6307818952350981,0.38674956460111815,0.4746161519054394,9576.0,90357.0,7.0,6712.0
robust_seed_29,SevereJPEG,3,40.0,500,28.27112274851284,0.2452533095014246,0.4050964328837902,0.06101459055794602,0.6122977636033493,0.7511317226901472,0.25,0.5911707475341634,0.3997183810725512,0.47007774129799124,9576.0,86308.0,7.0,6755.0
pretrained,SevereJPEG,4,20.0,500,25.638175414394034,0.14926766879615677,0.2473110450334071,0.04712519760782534,0.4470948182084807,0.723792848294332,0.25,0.529145240623791,0.23170265309875515,0.2982795235605526,9576.0,77215.0,7.0,4266.0
robust_seed_7,SevereJPEG,4,20.0,500,25.638175414394034,0.2412758517600741,0.3990339087788791,0.05844514846935344,0.6029042675545684,0.7491269239208977,0.25,0.60936859901635,0.36017990247285514,0.44708630882435285,9576.0,97483.0,7.0,6454.0
robust_seed_17,SevereJPEG,4,20.0,500,25.638175414394034,0.25214847221506326,0.4150883591180375,0.05608338377041139,0.5908026396172892,0.7493907083263786,0.25,0.6400673015014002,0.37715658653163014,0.4690787209969055,9576.0,95362.0,7.0,6565.0
robust_seed_29,SevereJPEG,4,20.0,500,25.638175414394034,0.23932374218194605,0.3999370158297542,0.05713555939976987,0.5866981945624402,0.7522909785285858,0.25,0.6033810771248642,0.378898353373796,0.4598616927489644,9576.0,90746.0,7.0,6616.0
