epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.9713,1.52712,1.34617,1.08366,0.27816,0.23657,0.19553,0.10766,1.36049,1.12116,1.06283,0.000332311,0.000332311,0.0671012
2,95.1557,1.43569,0.99782,1.04974,0.41199,0.30042,0.27749,0.15787,1.20475,0.99207,1.00585,0.000664628,0.000664628,0.0341002
3,140.559,1.40237,0.94453,1.03568,0.47673,0.31465,0.30651,0.17306,1.22976,0.90385,1.0173,0.000992889,0.000992889,0.00109514
4,186.039,1.38429,0.91619,1.02678,0.46836,0.34673,0.32673,0.18699,1.20329,0.84105,1.00606,0.000986323,0.000986323,0.000986323
5,231.302,1.36277,0.88945,1.01845,0.49226,0.32357,0.32037,0.19171,1.19954,0.86467,1.0015,0.000975773,0.000975773,0.000975773
6,276.707,1.33437,0.86091,1.00822,0.50123,0.33443,0.31673,0.179,1.17944,0.82685,0.99594,0.00096232,0.00096232,0.00096232
7,322.301,1.32311,0.84765,1.00469,0.5107,0.31941,0.33007,0.18846,1.16289,0.82053,0.98714,0.000946048,0.000946048,0.000946048
8,367.35,1.31353,0.83304,0.99861,0.57526,0.32782,0.34903,0.20654,1.15692,0.81745,0.98057,0.000927057,0.000927057,0.000927057
9,412.693,1.30156,0.82021,0.99236,0.57299,0.32023,0.34348,0.20994,1.13307,0.78594,0.98339,0.000905463,0.000905463,0.000905463
10,458.474,1.2793,0.80069,0.98565,0.58675,0.3348,0.36164,0.21544,1.12957,0.77185,0.97561,0.000881401,0.000881401,0.000881401
11,503.822,1.27065,0.79626,0.98542,0.5389,0.32869,0.3498,0.20399,1.11617,0.77635,0.97148,0.000855018,0.000855018,0.000855018
12,549.436,1.26526,0.78954,0.98183,0.56082,0.34639,0.36996,0.22776,1.11612,0.75632,0.96948,0.000826477,0.000826477,0.000826477
13,594.819,1.25764,0.7799,0.97831,0.541,0.35979,0.37479,0.23085,1.11055,0.76507,0.96525,0.000795954,0.000795954,0.000795954
14,640.147,1.24867,0.77073,0.97573,0.52339,0.35153,0.37119,0.23161,1.1101,0.76385,0.96467,0.000763637,0.000763637,0.000763637
15,685.667,1.24366,0.76307,0.97091,0.49773,0.35776,0.36651,0.21973,1.09881,0.75125,0.96654,0.000729725,0.000729725,0.000729725
16,730.671,1.22903,0.7512,0.96831,0.54128,0.37267,0.37468,0.2178,1.08925,0.74498,0.96212,0.000694428,0.000694428,0.000694428
17,776.175,1.22277,0.74538,0.96413,0.48619,0.37506,0.37535,0.21943,1.09356,0.76024,0.96413,0.000657963,0.000657963,0.000657963
18,821.328,1.22069,0.74329,0.96324,0.54452,0.37744,0.38622,0.23425,1.08813,0.74035,0.95997,0.000620555,0.000620555,0.000620555
19,866.823,1.20741,0.72989,0.95797,0.54568,0.37304,0.38525,0.23324,1.07865,0.71888,0.95838,0.000582435,0.000582435,0.000582435
20,911.613,1.20166,0.72378,0.95638,0.54041,0.37758,0.37874,0.2315,1.07613,0.72235,0.95612,0.000543837,0.000543837,0.000543837
21,957.349,1.19576,0.72161,0.95352,0.58476,0.35881,0.37762,0.22778,1.07138,0.71036,0.95975,0.000505,0.000505,0.000505
22,1002.83,1.18392,0.70916,0.95096,0.58663,0.38052,0.39594,0.24405,1.06848,0.70906,0.95619,0.000466163,0.000466163,0.000466163
23,1048.13,1.18148,0.70815,0.95014,0.56278,0.35997,0.39046,0.23854,1.06568,0.71689,0.95665,0.000427565,0.000427565,0.000427565
24,1093.2,1.17577,0.69849,0.94599,0.64189,0.36547,0.41607,0.25999,1.06262,0.69482,0.95371,0.000389445,0.000389445,0.000389445
25,1139.11,1.16513,0.69253,0.9429,0.57712,0.36764,0.40064,0.24554,1.05353,0.70304,0.95201,0.000352037,0.000352037,0.000352037
26,1184.56,1.14801,0.68145,0.94031,0.66814,0.34624,0.39218,0.2399,1.06416,0.69498,0.95844,0.000315572,0.000315572,0.000315572
27,1229.81,1.15585,0.68357,0.94013,0.59004,0.37783,0.40664,0.2435,1.05601,0.70161,0.95202,0.000280275,0.000280275,0.000280275
28,1275.6,1.1476,0.67474,0.93562,0.61683,0.38117,0.40119,0.24435,1.06058,0.69686,0.95341,0.000246363,0.000246363,0.000246363
29,1321.07,1.13687,0.66723,0.93398,0.5472,0.40564,0.41031,0.2488,1.05479,0.69178,0.95029,0.000214046,0.000214046,0.000214046
30,1366.34,1.13755,0.66904,0.93431,0.54575,0.38839,0.40394,0.24473,1.05748,0.69419,0.95435,0.000183523,0.000183523,0.000183523
31,1411.39,1.13349,0.66295,0.93219,0.58004,0.38943,0.40875,0.24732,1.05875,0.68719,0.95526,0.000154982,0.000154982,0.000154982
32,1457.06,1.12821,0.6603,0.93018,0.60144,0.38504,0.40965,0.25087,1.05874,0.68862,0.95437,0.000128599,0.000128599,0.000128599
33,1502.26,1.11223,0.65107,0.92827,0.58842,0.38876,0.41673,0.25116,1.05224,0.68547,0.95144,0.000104537,0.000104537,0.000104537
34,1547.75,1.11877,0.6518,0.92735,0.5763,0.37313,0.41066,0.25104,1.05363,0.68789,0.95322,8.29431e-05,8.29431e-05,8.29431e-05
