split,city,sample_id,view_index,condition,level,snr_db,objects
train,aachen,aachen_000000_000019,0,Clean,,,12
train,aachen,aachen_000000_000019,1,GaussNoise,5.0,24.166617799986675,12
train,aachen,aachen_000000_000019,2,GaussNoise,10.0,18.198299262885737,12
train,aachen,aachen_000000_000019,3,GaussNoise,20.0,12.290746030710354,12
train,aachen,aachen_000001_000019,0,Clean,,,14
train,aachen,aachen_000001_000019,1,GaussNoise,35.0,8.20009743551616,14
train,aachen,aachen_000001_000019,2,GaussNoise,50.0,5.589899139160361,14
train,aachen,aachen_000001_000019,3,LowLight,0.8,13.812227147782195,14
train,aachen,aachen_000002_000019,0,Clean,,,9
train,aachen,aachen_000002_000019,1,LowLight,0.6,7.841040636281159,9
train,aachen,aachen_000002_000019,2,LowLight,0.4,4.357874472216912,9
train,aachen,aachen_000002_000019,3,LowLight,0.25,2.439511889306945,9
train,aachen,aachen_000003_000019,0,Clean,,,11
train,aachen,aachen_000003_000019,1,LowLight,0.1,0.8605884654413166,11
train,aachen,aachen_000003_000019,2,MotionBlur,3.0,33.45472885282248,11
train,aachen,aachen_000003_000019,3,MotionBlur,5.0,26.157003662376077,11
train,aachen,aachen_000004_000019,0,Clean,,,25
train,aachen,aachen_000004_000019,1,MotionBlur,9.0,25.54714575423116,25
train,aachen,aachen_000004_000019,2,MotionBlur,15.0,22.333951544422426,25
train,aachen,aachen_000004_000019,3,MotionBlur,25.0,19.81342863732618,25
train,aachen,aachen_000005_000019,0,Clean,,,26
train,aachen,aachen_000005_000019,1,SevereJPEG,80.0,30.599537566885285,26
train,aachen,aachen_000005_000019,2,SevereJPEG,60.0,28.804709999276888,26
train,aachen,aachen_000005_000019,3,SevereJPEG,40.0,27.609546261870783,26
train,aachen,aachen_000006_000019,0,Clean,,,23
train,aachen,aachen_000006_000019,1,SevereJPEG,20.0,25.388514571755056,23
train,aachen,aachen_000006_000019,2,SevereJPEG,5.0,17.880180618819306,23
train,aachen,aachen_000006_000019,3,GaussNoise,5.0,23.43265483651463,23
train,aachen,aachen_000007_000019,0,Clean,,,2
train,aachen,aachen_000007_000019,1,GaussNoise,10.0,17.297731691563406,2
train,aachen,aachen_000007_000019,2,GaussNoise,20.0,11.455844920208227,2
train,aachen,aachen_000007_000019,3,GaussNoise,35.0,6.9531849222147715,2
train,aachen,aachen_000008_000019,0,Clean,,,17
train,aachen,aachen_000008_000019,1,GaussNoise,50.0,4.669816274197632,17
train,aachen,aachen_000008_000019,2,LowLight,0.8,13.780459120166435,17
train,aachen,aachen_000008_000019,3,LowLight,0.6,7.859355857651112,17
train,aachen,aachen_000009_000019,0,Clean,,,15
train,aachen,aachen_000009_000019,1,LowLight,0.4,4.367989311508948,15
train,aachen,aachen_000009_000019,2,LowLight,0.25,2.447146390916072,15
train,aachen,aachen_000009_000019,3,LowLight,0.1,0.8637767671241534,15
train,aachen,aachen_000010_000019,0,Clean,,,32
train,aachen,aachen_000010_000019,1,MotionBlur,3.0,32.62084578240628,32
train,aachen,aachen_000010_000019,2,MotionBlur,5.0,25.747490347137774,32
train,aachen,aachen_000010_000019,3,MotionBlur,9.0,22.206120496286257,32
train,aachen,aachen_000011_000019,0,Clean,,,30
train,aachen,aachen_000011_000019,1,MotionBlur,15.0,20.414982367513108,30
train,aachen,aachen_000011_000019,2,MotionBlur,25.0,18.163264492268155,30
train,aachen,aachen_000011_000019,3,SevereJPEG,80.0,29.58475518950632,30
train,aachen,aachen_000012_000019,0,Clean,,,37
train,aachen,aachen_000012_000019,1,SevereJPEG,60.0,27.72428035173548,37
train,aachen,aachen_000012_000019,2,SevereJPEG,40.0,26.510403604437723,37
train,aachen,aachen_000012_000019,3,SevereJPEG,20.0,23.677571931099305,37
train,aachen,aachen_000013_000019,0,Clean,,,32
train,aachen,aachen_000013_000019,1,SevereJPEG,5.0,17.371414271108176,32
train,aachen,aachen_000013_000019,2,GaussNoise,5.0,23.427090611855185,32
train,aachen,aachen_000013_000019,3,GaussNoise,10.0,17.46974407345533,32
train,aachen,aachen_000014_000019,0,Clean,,,32
train,aachen,aachen_000014_000019,1,GaussNoise,20.0,11.952636665526422,32
train,aachen,aachen_000014_000019,2,GaussNoise,35.0,7.54055639630981,32
train,aachen,aachen_000014_000019,3,GaussNoise,50.0,4.911723905623816,32
train,aachen,aachen_000015_000019,0,Clean,,,38
train,aachen,aachen_000015_000019,1,LowLight,0.8,13.776848433031892,38
train,aachen,aachen_000015_000019,2,LowLight,0.6,7.8578965697430325,38
train,aachen,aachen_000015_000019,3,LowLight,0.4,4.369561176811719,38
train,aachen,aachen_000016_000019,0,Clean,,,49
train,aachen,aachen_000016_000019,1,LowLight,0.25,2.4545709074122803,49
train,aachen,aachen_000016_000019,2,LowLight,0.1,0.8713581892168736,49
train,aachen,aachen_000016_000019,3,MotionBlur,3.0,34.522422778926156,49
train,aachen,aachen_000017_000019,0,Clean,,,22
train,aachen,aachen_000017_000019,1,MotionBlur,5.0,27.328035110520517,22
train,aachen,aachen_000017_000019,2,MotionBlur,9.0,23.070707411100702,22
train,aachen,aachen_000017_000019,3,MotionBlur,15.0,19.323868253595023,22
train,aachen,aachen_000018_000019,0,Clean,,,30
train,aachen,aachen_000018_000019,1,MotionBlur,25.0,18.186795328657546,30
train,aachen,aachen_000018_000019,2,SevereJPEG,80.0,31.767207995666396,30
train,aachen,aachen_000018_000019,3,SevereJPEG,60.0,29.787967754532573,30
train,aachen,aachen_000019_000019,0,Clean,,,39
train,aachen,aachen_000019_000019,1,SevereJPEG,40.0,27.74591080786893,39
train,aachen,aachen_000019_000019,2,SevereJPEG,20.0,24.702317247817774,39
train,aachen,aachen_000019_000019,3,SevereJPEG,5.0,17.909928818512796,39
train,aachen,aachen_000020_000019,0,Clean,,,19
train,aachen,aachen_000020_000019,1,GaussNoise,5.0,22.925492141397786,19
train,aachen,aachen_000020_000019,2,GaussNoise,10.0,16.970496003141694,19
train,aachen,aachen_000020_000019,3,GaussNoise,20.0,11.14617511781658,19
train,aachen,aachen_000021_000019,0,Clean,,,32
